一念无明 一念無明,,黄进,,黄进,,曾志伟,,余文乐,,方皓玟,"['剧情', '家庭']",101分钟,2016,香港, 粤语,7.9
看上去很美,,张元,,宁岱,,董博文,,宁元元,,李昕芸,"['剧情', '喜剧']",92分钟,2006,中国大陆 / 意大利, 汉语普通话,7.9
黑社会2：以和为贵 黑社會以和為貴,,杜琪峰,,游乃海,,古天乐,,任达华,,张家辉,"['剧情', '惊悚', '犯罪']",92分钟,2006,香港, 汉语普通话 / 粤语,7.9
裂缝 Cracks,,乔丹·斯科特,,乔丹·斯科特,,伊娃·格林,,朱诺·坦普尔,,玛利亚·瓦沃德,"['剧情', '惊悚']",104 分钟,2009,英国 / 爱尔兰 / 西班牙 / 法国 / 瑞士, 英语,7.9
春风沉醉的夜晚,,娄烨,,梅峰,,秦昊,,陈思诚,,谭卓,"['剧情', '同性']",106分钟,2009,中国大陆 / 法国, 汉语普通话 / 粤语,7.9
保镖 The Bodyguard,,米克·杰克逊,,劳伦斯·卡斯丹,,凯文·科斯特纳,,惠特尼·休斯顿,,加里·凯普,"['剧情', '爱情', '音乐']",129分钟,1992,美国, 英语,7.9
秋菊打官司,,张艺谋,,陈源斌,,巩俐,,刘佩琦,,雷恪生,['剧情'],100分钟,1992,中国大陆 / 香港, 陕西话 / 汉语普通话,7.9
裁缝 The Dressmaker,,乔瑟琳·穆尔豪斯,,乔瑟琳·穆尔豪斯,,凯特·温丝莱特,,朱迪·戴维斯,,利亚姆·海姆斯沃斯,['剧情'],118分钟,2015,澳大利亚, 英语,7.9
第六感生死缘 Meet Joe Black,,马丁·布莱斯特,,Ron Osborn,,布拉德·皮特,,安东尼·霍普金斯,,克莱尔·弗兰妮,"['剧情', '爱情', '悬疑', '奇幻']",178 分钟,1998,美国, 英语,7.9
玻璃之城,,张婉婷,,罗启锐,,黎明,,舒淇,,吴彦祖,"['剧情', '爱情']",110分钟,1998,香港, 英语 / 汉语普通话 / 粤语,7.9
冰血暴 Fargo,,乔尔·科恩,,乔尔·科恩,,威廉姆·H·梅西,,史蒂夫·布西密,,彼得·斯特曼,"['剧情', '惊悚', '犯罪']",98分钟,1996,美国 / 英国, 英语,7.9
训练日 Training Day,,安东尼·福奎阿,,大卫·阿耶,,丹泽尔·华盛顿,,伊桑·霍克,,斯科特·格伦,"['剧情', '惊悚', '犯罪']",122分钟,2001,美国 / 澳大利亚, 英语 / 俄语 / 西班牙语 / 汉语普通话,7.9
大明劫,,王竞,,谢晓东,,冯远征,,戴立忍,,冯波,"['剧情', '历史', '古装']",109分钟,2013,中国大陆, 汉语普通话,7.9
依然爱丽丝 Still Alice,,理查德·格雷泽,,理查德·格雷泽,,朱丽安·摩尔,,凯特·波茨沃斯,,肖恩·麦克雷,['剧情'],101分钟,2014,美国 / 法国, 英语,7.9
过春天,,白雪,,白雪,,黄尧,,孙阳,,汤加文,['剧情'],99分钟,2018,中国大陆, 汉语普通话 / 粤语,7.9
夜半歌声 夜半歌聲,,于仁泰,,司徒慧焯,,张国荣,,吴倩莲,,黄磊,"['剧情', '爱情', '惊悚', '音乐']",100 分钟,1995,香港 / 中国大陆 / 新加坡, 汉语普通话,7.9
黄色的眼泪 黄色い涙,,犬童一心,,市川森一,,二宫和也,,相叶雅纪,,樱井翔,['剧情'],128分钟,2007,日本, 日语,8.2
