,a,c,e,g,i,k,l,m,n,o,p,q
228,活死人黎明 Dawn of the Dead,扎克·施奈德,乔治·A·罗梅罗,萨拉·波莉,文·瑞姆斯,杰克·韦伯,"['动作', '科幻', '恐怖']",101 分钟,2004,美国 / 加拿大 / 日本 / 法国, 英语,7.5
229,撕裂的末日 Equilibrium,科特·维莫,科特·维莫,克里斯蒂安·贝尔,多米尼克·珀塞尔,肖恩·宾,"['剧情', '动作', '科幻', '惊悚']",107分钟,2002,美国, 英语,7.5
230,"亲爱的，我把孩子缩小了 Honey, I Shrunk the Kids",乔·庄斯顿,斯图尔特·戈登,里克·莫拉尼斯,马特·弗里沃,玛西亚·斯特拉斯曼,"['喜剧', '科幻', '家庭', '冒险']",93 分钟,1989,美国, 英语,7.5
231,苹果核战记 アップルシード,荒牧伸志,士郎正宗,小林爱,小杉十郎太,松冈由贵,"['动作', '科幻', '动画']",101分钟,2004,日本, 日语,7.5
232,机器人与弗兰克 Robot and Frank,杰克·施莱尔,克里斯托弗·D·福特,弗兰克·兰格拉,彼得·萨斯加德,苏珊·萨兰登,"['剧情', '喜剧', '科幻']",89分钟,2012,美国, 英语,7.5
233,亚特兰蒂斯：失落的帝国 Atlantis: The Lost Empire,加里·特洛斯达勒,泰布·墨菲,迈克尔·J·福克斯,詹姆斯·加纳,伦纳德·尼莫伊,"['科幻', '动画', '家庭', '冒险']",95 分钟,2001,美国, 英语,7.5
234,死亡密码 π,达伦·阿伦诺夫斯基,达伦·阿伦诺夫斯基,肖恩·格莱特,马克·马戈利斯,本·申克曼,"['剧情', '科幻', '惊悚']",84分钟,1998,美国, 英语 / 希伯来语,7.5
235,正义联盟：毁灭 Justice League: Doom,劳伦·蒙哥马利,Dwayne McDuffie,凯文·康瑞,蒂姆·达利,苏珊·爱森伯格,"['动作', '科幻', '动画', '奇幻']",75分钟,2012,美国, 英语,7.5
236,苹果核战记2 エクスマキナ,荒牧伸志,竹内清人,小林爱,山寺宏一,岸祐二,"['动作', '科幻', '动画', '惊悚']",USA: 103 分钟(DVD version),2007,日本, 日语,7.5
237,图书馆战争：记忆之书 図書館戦争 BOOK OF MEMORIES,佐藤信介,有川浩,冈田准一,荣仓奈奈,田中圭,"['剧情', '动作', '科幻']",100分钟,2015,日本, 日语,7.5
238,傻瓜大闹科学城 Sleeper,伍迪·艾伦,伍迪·艾伦,伍迪·艾伦,黛安·基顿,约翰·贝克,"['喜剧', '科幻']",89 分钟,1973,美国, 英语 / 意第绪语,7.5
239,逃离猩球 Escape from the Planet of the Apes,Don Taylor,保罗·戴恩,罗迪·麦克道尔,金·亨特,布拉福德·迪尔曼,"['科幻', '惊悚']",98分钟,1971,美国, 英语,7.5
240,科学怪人 Frankenstein,詹姆斯·惠尔,加勒特·富特,科林·克利夫,梅·克拉克,约翰·博尔斯,"['科幻', '恐怖']",70 分钟,1931,美国, 英语 / 拉丁语,7.5
241,蝙蝠侠归来 Batman Returns,蒂姆·波顿,丹尼尔·沃特斯,迈克尔·基顿,丹尼·德维托,米歇尔·菲佛,"['动作', '科幻']",126分钟,1992,美国 / 英国, 英语,7.2
242,冲出宁静号 Serenity,乔斯·韦登,乔斯·韦登,内森·菲利安,吉娜·托瑞斯,艾伦·图代克,"['动作', '科幻', '冒险']",119 分钟,2005,美国, 英语 / 汉语普通话,7.2
243,宝莱坞机器人之恋 Endhiran,S·尚卡尔,S·尚卡尔,艾西瓦娅·雷,拉吉尼坎塔,丹尼·邓宗帕,"['动作', '科幻', '惊悚']",155分钟,2010,印度, 泰米尔语,7.2
244,另一个地球 Another Earth,迈克·卡希尔,迈克·卡希尔,威廉·麦鲍瑟,布里特·马灵,马修-李·埃尔巴赫,"['剧情', '科幻']",92分钟,2011,美国, 英语,7.2
245,疯狂的麦克斯2 Mad Max 2,乔治·米勒,乔治·米勒,梅尔·吉布森,布鲁斯·斯宾斯,弗农·威尔斯,"['动作', '科幻', '惊悚', '冒险']",95分钟,1981,澳大利亚, 英语,7.2
246,星际之门 Stargate,罗兰·艾默里奇,迪安·德夫林,詹姆斯·斯派德,库尔特·拉塞尔,艾利希斯·克鲁兹,"['动作', '科幻', '奇幻', '冒险']",121 分钟,1994,法国 / 美国, 英语 / 挪威语 / 瑞典语,7.2
247,现代豪侠传 現代豪俠傳,杜琪峰,陈淑贤,杨紫琼,梅艳芳,张曼玉,"['喜剧', '动作', '科幻']",101分钟(香港),1993,香港, 粤语,7.2
248,黑暗扫描仪 A Scanner Darkly,理查德·林克莱特,理查德·林克莱特,基努·里维斯,小罗伯特·唐尼,Casey Chapman,"['剧情', '科幻', '动画', '悬疑', '惊悚', '犯罪']",100 分钟,2006,美国, 英语,7.2
249,图书馆战争2：最后的任务 図書館戦争 -THE LAST MISSION-,佐藤信介,野木亚纪子,冈田准一,荣仓奈奈,田中圭,"['剧情', '动作', '科幻']",120分钟,2015,日本, 日语,7.2
250,末世纪暴潮 Strange Days,凯瑟琳·毕格罗,詹姆斯·卡梅隆,拉尔夫·费因斯,安吉拉·贝塞特,朱丽叶特·刘易斯,"['剧情', '动作', '科幻', '悬疑', '惊悚', '音乐', '犯罪', '奇幻']",145 分钟,1995,美国, 英语,7.2
251,坏品位 Bad Taste,彼得·杰克逊,Ken Hammon,Terry Potter,Pete O'Herne,Craig Smith,"['喜剧', '动作', '科幻', '恐怖']",91 分钟,1987,新西兰, 英语,7.2
252,灵婴 The Brood,大卫·柯南伯格,大卫·柯南伯格,奥列佛·里德,萨曼莎·艾加,阿特·欣德尔,"['科幻', '恐怖']",92 分钟,1979,加拿大, 英语,7.2
253,未来世界 Futureworld,理查德·赫夫伦,George Schenk,彼得·方达,布莱思·丹纳,阿瑟·希尔,"['科幻', '惊悚']",108分钟,1976,美国, 英语,7.2
254,惊异大奇航 Innerspace,乔·丹特,奇普·普罗瑟,丹尼斯·奎德,马丁·肖特,梅格·瑞恩,"['喜剧', '动作', '科幻', '犯罪', '冒险']",120分钟,1987,美国, 英语,7.2
255,妙药春情 Monkey Business,霍华德·霍克斯,本·赫克特,加里·格兰特,金杰·罗杰斯,查尔斯·科本,"['喜剧', '科幻']",97 分钟,1952,美国, 英语,7.2
256,外星人狙击战 ムタフカズ,西见祥示郎,巴尔吉特·拉伊,克里斯·贾伊·阿历克斯,安东尼奥·阿尔瓦雷斯,迪诺·安德拉德,"['动作', '科幻', '动画']",90分钟,2017,法国 / 日本, 法语,7.2
257,北海怪兽,彭磊,彭磊,吴庆晨,龙宽,李延祺,"['剧情', '科幻']",67分钟,2006,中国大陆, 汉语普通话,7.2
258,竹取物语 竹取物語,市川昆,日高真也,中井贵一,泽口靖子,三船敏郎,"['剧情', '科幻', '历史', '奇幻', '冒险']",121 分钟,1987,日本, 日语,7.2
259,天空上尉与明日世界 Sky Captain and the World of Tomorrow,克里·孔兰,克里·孔兰,格温妮斯·帕特洛,裘德·洛,安吉丽娜·朱莉,"['动作', '科幻', '冒险']",106 分钟,2004,美国 / 英国 / 意大利, 英语 / 藏语 / 德语,6.6
260,鬼铃 폰,安兵基,河智苑,河智苑,类型:,剧情,"['剧情', '科幻', '悬疑', '惊悚', '恐怖']",Japan: 100 分钟,2002,韩国, 韩语,6.6
261,戴夫号飞船 Meet Dave,布莱恩·罗宾斯,Rob Greenberg,艾迪·墨菲,伊丽莎白·班克斯,加布里埃尔·尤尼恩,"['喜剧', '爱情', '科幻', '家庭', '冒险']",90 分钟,2008,美国, 英语,6.6
262,犬屋敷 真人版 いぬやしき,佐藤信介,奥浩哉,木梨宪武,佐藤健,本乡奏多,"['动作', '科幻']",127分钟,2018,日本, 日语,6.6
263,红色星球 Red Planet,Antony Hoffman,Chuck Pfarrer,方·基默,凯瑞-安·莫斯,本杰明·布拉特,"['动作', '科幻', '惊悚']",106 分钟,2000,美国 / 澳大利亚, 英语,6.6
264,越空狂龙 Demolition Man,马可·布拉姆贝拉,皮特·M·列科夫,西尔维斯特·史泰龙,韦斯利·斯奈普斯,桑德拉·布洛克,"['动作', '科幻', '犯罪']",115 分钟,1993,美国, 英语,6.6
265,猛鬼学堂 猛鬼學堂,刘镇伟,黄炳耀,张学友,许冠英,林忆莲,"['科幻', '恐怖']",92 分钟,1988,香港, 粤语,6.6
266,卫斯理传奇 衛斯理傳奇,泰迪·罗宾,廖坚为,许冠杰,王祖贤,泰迪·罗宾,"['动作', '科幻', '冒险']",90分钟,1987,香港 / 西德, 粤语 / 日语,6.6
267,再造战士 Universal Soldier,罗兰·艾默里奇,Christopher Leitch,杜夫·龙格尔,尚格·云顿,艾利·沃克,"['剧情', '动作', '科幻']",102 分钟,1992,美国, 英语,6.6
268,海带,阚若涵,陆子轩,邓飞,刘飏,类型:,"['喜剧', '科幻']",94分钟,2017,中国大陆, 汉语普通话,6.6
269,逃离魔窟 グシャノビンヅメ,山口洋辉 ,山口洋辉 ,藤崎露琪诺,Yoshiichi Kawada,小柴亮介,"['科幻', '恐怖']",96 分钟(日本),2004,日本, 日语,6.6
270,刚果惊魂 Congo,弗兰克·马歇尔,约翰·帕特里克·尚利,劳拉·琳妮,迪伦·沃尔什,蒂姆·克里,"['动作', '科幻', '悬疑', '冒险']",109 分钟,1995,美国, 英语,6.6
271,2009迷失的记忆 2009 로스트 메모리즈,李时明,李时明,张东健,仲村亨,申久,"['剧情', '动作', '科幻', '悬念']",136分钟,2002,韩国 / 日本, 日语 / 韩语,6.6
272,太空巴迪 Space Buddies,Robert Vince,Anna McRoberts,比尔·法格巴克,戴德里克·巴德,凯文·韦斯曼,"['科幻', '家庭', '奇幻', '冒险']",84 分钟,2009,美国 / 加拿大, 英语,6.6
273,星际之门：时空连续 Stargate: Continuum,Martin Wood,Brad Wright,本·布劳德,迈克尔·山克斯,阿曼达·泰平,"['动作', '科幻', '奇幻', '冒险']",USA: 98 分钟,2008,加拿大 / 美国, 英语,6.6
274,美国队长 Captain America,阿尔伯特·派恩,乔·西蒙,马特·塞林格,罗尼·考克斯,尼德·巴蒂,"['动作', '科幻']",97 分钟,1990,美国 / 南斯拉夫, 英语,6.6
275,幸存者 The Survivalist,斯蒂芬·芬格尔顿,斯蒂芬·芬格尔顿,马丁·麦凯恩,米娅·高斯,安德鲁·辛普森,"['剧情', '科幻', '惊悚']",104分钟,2015,英国, 英语,6.6
276,零号嫌疑犯 Suspect Zero,E. Elias Merhige,Billy Ray,Aaron Eckhart,Ben Kingsley,Carrie-Anne Moss,"['科幻', '惊悚', '恐怖', '犯罪']",96分钟,2004,美国, 英语,6.6
277,悄然之星 ひそひそ星,园子温,园子温,神乐坂惠,远藤贤司,池田优斗,"['剧情', '科幻']",101分钟,2015,日本, 日语,6.6
278,最终剪接 The Final Cut,Omar Naim,奥玛尔·内姆,罗宾·威廉姆斯 Robin Williams,吉姆·卡维泽,类型:,"['科幻', '惊悚']",95 分钟,2004,美国 / 加拿大 / 德国, 英语,6.6
279,匿名者 Anon,安德鲁·尼科尔,安德鲁·尼科尔,克里夫·欧文,阿曼达·塞弗里德,科鲁姆·费奥瑞,"['科幻', '惊悚']",100分钟,2018,德国 / 美国 / 加拿大, 英语,6.3
280,非常小特务2 Spy Kids 2: Island of Lost Dreams,罗伯特·罗德里格兹,罗伯特·罗德里格兹,达里尔·沙巴拉,阿丽夏·维加,安东尼奥·班德拉斯,"['喜剧', '动作', '科幻', '冒险']",100 分钟,2002,美国, 英语,6.3
281,感染列岛 感染列島,濑濑敬久,濑濑敬久,妻夫木聪,檀丽,国仲凉子,"['剧情', '科幻', '惊悚', '灾难']",138分钟,2009,日本, 日语,6.3
282,捕梦网 Dreamcatcher,劳伦斯·卡斯丹,斯蒂芬·金,摩根·弗里曼,托马斯·简,杰森·李,"['剧情', '科幻', '恐怖']",136分钟,2003,美国, 英语,6.3
283,超人3 Superman III,理查德·莱斯特,大卫·纽曼,克里斯托弗·里夫,理查德·普赖尔,杰基·库珀,"['动作', '科幻', '冒险']",125 分钟,1983,英国 / 美国, 英语 / 意大利语 / 西班牙语,6.3
284,异形魔怪2 Tremors II: Aftershocks,S·S·威尔逊,布伦特·马多克,弗莱德·沃德,克里斯托弗·加廷,海伦·谢费,"['喜剧', '动作', '科幻', '惊悚', '恐怖']",100 分钟,1996,美国, 英语 / 西班牙语,6.3
285,追击8月15,马伟豪,马伟豪,郑中基,蔡卓妍,秦海璐,"['喜剧', '科幻']",114分钟,2004,香港 / 中国大陆, 粤语,6.3
286,超人：解放 Superman: Unbound,詹姆斯·塔克,乔夫·琼斯,马特·波莫,斯坦娜·卡蒂克,莫莉·奎恩,"['科幻', '动画', '冒险']",75分钟,2013,美国, 英语,6.3
287,铠甲勇士之帝皇侠,郑国伟,曹薇薇,唐禹哲,袁成杰,陈真希,['科幻'],110分钟,2010,中国大陆, 汉语普通话,6.3
288,他们叫我吉克 Lo chiamavano Jeeg Robot,加布里尔·梅内提,尼古拉·瓜利亚诺内,克劳迪奥·桑塔玛利亚,卢卡·马里内利,斯特凡诺·安布罗吉,"['喜剧', '动作', '科幻']",112分钟,2015,意大利, 意大利语,6.3
289,复制人 Replicant,林岭东,Larry Riggins,尚格·云顿,迈克尔·鲁克,凯瑟琳·丹特 ,"['动作', '科幻', '惊悚']",100 分钟,2001,美国, 英语,6.3
290,时间怪客 Time Freak,安德鲁·鲍勒,安德鲁·鲍勒,阿萨·巴特菲尔德,苏菲·特纳,斯凯勒·吉桑多,"['喜剧', '爱情', '科幻']",104分钟,2018,美国, 英语,6.3
291,哥斯拉之终极战役 ゴジラ FINAL WARS,北村龙平,桐山勋,松冈昌宏,北村一辉,唐·弗莱,"['动作', '科幻', '惊悚', '奇幻', '冒险']",125分钟,2004,日本 / 澳大利亚 / 美国 / 中国大陆, 粤语 / 英语 / 日语,6.3
292,核子航母遇险记 The Final Countdown,唐·泰勒,Thomas Hunter,柯克·道格拉斯,马丁·辛,凯瑟琳·罗斯,"['剧情', '科幻', '战争', '冒险']",103 分钟,1980,美国, 英语 / 日语 / 俄语,6.3
293,铁男2：血肉横飞 鉄男 II　ＢＯＤＹ　ＨＡＭＭＥＲ,冢本晋也,冢本晋也,田口智朗,冢本晋也,叶冈伸,"['剧情', '科幻', '恐怖']",83 分钟,1992,日本, 日语,6.3
294,代码46 Code 46,迈克尔·温特伯顿,弗兰克·科特雷尔·博伊斯,蒂姆·罗宾斯,伊川东吾,纳比勒·埃卢比,"['剧情', '爱情', '科幻']",93 分钟,2003,英国, 英语,6.3
295,活跳尸3 Beyond Re-Animator,布莱恩·尤兹纳,布莱恩·尤兹纳,杰弗瑞·考姆斯,杰森·贝瑞,类型:,"['喜剧', '科幻', '恐怖']",Germany: 95 分钟(Fantasy Film Fest),2003,西班牙, 英语,6.3
296,终极复仇者 Ultimate Avengers,Curt Geda,Greg Johnson,Justin Gross,Olivia d'Abo,Marc Worden,"['动作', '科幻', '动画', '冒险']",72 分钟,2006,美国, 西班牙语 / 英语,6.3
297,地狱男爵：血皇后崛起 Hellboy,尼尔·马歇尔,安德鲁·考斯比,大卫·哈伯,米拉·乔沃维奇,金大贤,"['动作', '科幻', '奇幻', '冒险']",120分钟,2019,美国, 英语,6.3
298,病毒 Virus,John Bruno,查克 法瑞尔 (Chuck Pfarrer),Jamie Lee Curtis,William Baldwin,Donald Sutherland,"['动作', '科幻', '惊悚', '恐怖']",99 分钟,1999,美国, 英语 / 俄语,6.3
299,绿灯侠 Green Lantern,马丁·坎贝尔,格里格·伯兰蒂,瑞恩·雷诺兹,布蕾克·莱弗利,彼得·萨斯加德,"['动作', '科幻']",114分钟,2011,美国, 英语,5.9
300,分歧者2：绝地反击 Insurgent,罗伯特·斯文克,布莱恩·达菲尔德,谢琳·伍德蕾,提奥·詹姆斯,凯特·温丝莱特,"['动作', '科幻', '冒险']",119分钟,2015,美国, 英语,5.9
301,异能 Push,保罗·麦奎根,David Bourla,克里斯·埃文斯,达科塔·范宁,卡米拉·贝勒,"['动作', '科幻', '惊悚']",111 分钟,2009,加拿大 / 英国 / 美国, 英语 / 粤语,5.9
302,超能敢死队 Ghostbusters,保罗·费格,丹·艾克罗伊德,梅丽莎·麦卡西,克里斯汀·韦格,凯特·麦克金农,"['喜剧', '动作', '科幻']",116分钟,2016,美国, 英语,5.9
303,驱魔者 Priest,斯科特·查尔斯·斯图瓦特,Cory Goodman,保罗·贝坦尼,凯姆·吉甘戴,李美琪,"['动作', '科幻', '惊悚', '恐怖']",87分钟,2011,美国, 英语,5.9
304,午夜逃亡 Midnight Special,杰夫·尼克尔斯,杰夫·尼克尔斯,迈克尔·珊农,乔尔·埃哲顿,克斯汀·邓斯特,"['剧情', '科幻', '冒险']",112分钟,2016,美国, 英语,5.9
305,异种2 Species II,彼得·梅达克,克里斯·布兰卡托,Michael Madsen,Natasha Henstridge,Marg Helgenberger,"['动作', '科幻', '恐怖']",93 分钟,1998,美国, 英语,5.9
306,黑暗天际 Dark Skies,斯科特·查尔斯·斯图瓦特,斯科特·查尔斯·斯图瓦特,凯丽·拉塞尔,约什·汉密尔顿,达科塔·高尤,"['科幻', '惊悚', '恐怖']",97分钟,2013,美国, 英语,5.9
307,非常小特务3 Spy Kids 3-D: Game Over,罗伯特·罗德里格兹,罗伯特·罗德里格兹,安东尼奥·班德拉斯,卡拉·古奇诺,阿丽夏·维加,"['喜剧', '动作', '科幻', '冒险']",84 分钟,2003,美国, 英语,5.9
308,零点定理 The Zero Theorem,特瑞·吉列姆,帕特·拉申,克里斯托弗·沃尔兹,梅兰尼·蒂埃里,大卫·休里斯,"['剧情', '科幻']",107分钟,2013,英国 / 罗马尼亚 / 美国 / 法国, 英语,5.9
309,星河战队：火星叛国者 Starship Troopers: Traitor of Mars,荒牧伸志,爱德华·诺麦尔,卡斯帕·凡·迪恩,迪娜·迈耶,德雷·戴维斯,"['动作', '科幻', '动画']",88分钟,2017,美国 / 日本, 英语,5.9
310,诸神混乱之女神陷阱 Immortel (ad vitam),恩基·比拉,恩基·比拉,琳达·哈蒂,托马斯·克莱舒曼,夏洛特·兰普林,"['剧情', '动作', '科幻', '动画', '犯罪']",103 分钟,2004,法国 / 意大利 / 英国, 英语 / 法语,5.9
311,完美的蛇颈龙之日 リアル 完全なる首長竜の日,黑泽清,乾绿郎,佐藤健,绫濑遥,中谷美纪,"['剧情', '爱情', '科幻']",126分钟,2013,日本, 日语,5.9
312,虚空异界 The Void,杰里米·格里斯佩,杰里米·格里斯佩,亚伦·普尔,肯尼斯·威尔什,丹尼尔·法瑟斯,"['科幻', '悬疑', '恐怖']",90分钟,2016,加拿大, 英语,5.9
313,钢铁侠：噬甲危机 Iron Man: Rise of Technovore,浜崎博嗣,唐·赫克,诺曼·瑞杜斯,马修·默瑟,凯瑞·华格伦,"['动作', '科幻', '动画']",88分钟,2013,日本, 英语 / 日语,5.9
314,吃货宇宙,陈廖宇,向华,张鹤来,张栩儿,刘思童,"['喜剧', '科幻', '动画']",89分钟,2018,中国大陆, 汉语普通话,5.9
315,外太空计划9 Plan 9 from Outer Space,艾德·伍德,艾德·伍德,格雷戈里·沃尔科特,Mona McKinnon,Duke Moore,"['科幻', '恐怖']",79 分钟,1959,美国, 英语,5.9
316,凤凰城遗忘录 Phoenix Forgotten,贾斯廷 巴伯,T·S·诺林,Florence Hartigan,Luke Spencer Roberts,切尔西·洛佩兹,"['科幻', '悬疑', '恐怖']",87分钟,2017,美国, 英语,5.9
317,异形魔怪4 Tremors 4: The Legend Begins,S·S·威尔逊,S·S·威尔逊,萨拉·博茨福德,Lou Carlucci,John Dixon,"['喜剧', '动作', '科幻', '惊悚', '恐怖', '西部']",101分钟,2004,美国, 英语,5.9
318,起死回生 The Lazarus Effect,大卫·贾柏,杰瑞米·斯莱特,埃文·彼得斯,奥利维亚·王尔德,唐纳德·格洛弗,"['科幻', '惊悚', '恐怖']",83分钟,2015,美国, 英语,5.4
319,死亡幻觉2 S. Darko,Chris Fisher,内森·阿特金斯,黛维·切斯,布莱恩娜·伊维根,詹姆斯·拉夫尔提,"['科幻', '悬疑', '惊悚', '犯罪']",103 分钟,2009,美国, 英语,5.4
320,超人集中营 Zoom,彼得·休伊特,亚当·莱福金,蒂姆·艾伦,柯特妮·考克斯,切维·切斯,"['喜剧', '动作', '科幻', '冒险']",83分钟,2006,美国, 英语,5.4
321,逃亡僵尸岛 The Rezort,史蒂夫·巴克,Paul Gerstenberger,多格雷·斯科特,杰西卡·德·古维,马丁·麦凯恩,"['科幻', '恐怖']",93分钟,2015,英国, 英语,5.4
322,赏金杀手 Bounty Killer,Henry Saine,Colin Ebeling,马修·马斯登,克里斯塔娜·洛肯,Christian Pitre,"['动作', '科幻', '惊悚']",92分钟,2013,美国, 英语,5.4
323,格斗之王 Mortal Kombat,保罗·安德森,Ed Boon,克里斯多弗·兰伯特,仇云波,林登·阿什比,"['动作', '科幻', '惊悚', '奇幻', '冒险']",101 分钟,1995,美国, 英语,5.4
324,2016：夜之尽头 Hell,Tim Fehlbaum,Tim Fehlbaum,Hannah Herzsprung,Stipe Erceg,Angela Winkler,['科幻'],89分钟,2011,德国, 德语,5.4
325,法国间谍 Double zéro,吉拉尔·皮雷,Matt Alexander,埃里克·朱多尔,朗齐·贝迪亚,埃德瓦·贝耶,"['喜剧', '动作', '科幻', '冒险']",90分钟,2004,法国 / 英国, 法语,5.4
326,异形终结2：狩猎 Screamers: The Hunting,Sheldon Wilson,Miguel Tejada-Flores,吉娜·赫尔顿,Greg Bryk,斯蒂芬·阿梅尔,"['动作', '科幻', '惊悚', '恐怖']",95分钟,2009,美国 / 加拿大, 英语,5.4
327,最后的德鲁伊：加尔姆战争 Garm Wars: The Last Druid,押井守,押井守,兰斯·亨利克森,凯文·杜兰,梅兰妮·圣皮耶尔,"['动作', '科幻']",102分钟,2014,加拿大 / 日本, 英语,5.4
328,水世界 Riverworld,卡莉·斯考格兰德,斯图尔特·哈泽尔丁,Brad Johnson,Karen Holness,艾米丽·劳伊德,"['剧情', '科幻', '奇幻', '冒险']",86分钟,2003,加拿大 / 新西兰 / 英国 / 美国, 英语,5.4
329,食人鱼2：繁殖 Piranha Part Two: The Spawning,詹姆斯·卡梅隆,H.A. Milton,特里西娅·奥尼尔,兰斯·亨利克森,Ricky Paull Goldin,"['剧情', '爱情', '科幻', '恐怖']",84 分钟,1981,美国 / 意大利, 英语,5.4
330,情癫大圣,刘镇伟,刘镇伟,谢霆锋,蔡卓妍,范冰冰,"['剧情', '喜剧', '动作', '爱情', '科幻', '奇幻']",103分钟,2005,中国大陆 / 香港, 粤语 / 汉语普通话,5.3
331,刺客信条 Assassin's Creed,贾斯汀·库泽尔 ,比尔·科拉奇,迈克尔·法斯宾德,玛丽昂·歌迪亚,杰瑞米·艾恩斯,"['动作', '科幻', '历史', '冒险']",116分钟,2016,美国 / 法国 / 香港 / 英国 / 台湾 / 马耳他 / 加拿大, 英语 / 西班牙语,5.3
332,移动迷宫3：死亡解药 Maze Runner: The Death Cure,韦斯·鲍尔,T·S·诺林,迪伦·奥布莱恩,卡雅·斯考达里奥,李起弘,"['动作', '科幻', '冒险']",142分钟,2018,美国, 英语,5.3
333,异虫咒 Scourge,Jonas Quastel,Jonas Quastel,Russell Ferrier,Robyn Ledoux,Nic Rhind,"['科幻', '悬疑', '恐怖']",90分钟,2008,加拿大 / 美国, 英语,4.6
334,完美男友养成记 How to Build a Better Boy,保罗·霍恩,Jason Mayland,琪娜·安妮·麦克兰,Kelli Berglund,马歇尔·威廉斯,"['科幻', '家庭']",90分钟,2014,美国, 英语,4.6
335,甜心战士：眼泪 CUTIE HONEY -TEARS-,A.T.,永井豪,西内玛利亚,三浦贵大,石田妮可,"['动作', '科幻']",92分钟,2016,日本, 日语,4.6
336,天际浩劫 Skyline,科林·施特劳斯,乔舒亚·科迪斯,艾里克·巴弗尔,斯考蒂·汤姆森,布兰特妮·丹尼尔,"['动作', '科幻', '灾难']",94分钟,2010,美国, 英语,4.5
337,超凡战队 Power Rangers,迪恩·以色列特,扎克·施坦茨,戴克·蒙哥马利,娜奥米·斯科特,RJ·赛勒,"['动作', '科幻', '冒险']",124分钟,2017,美国 / 香港 / 加拿大, 英语,4.5
338,超能泰坦 The Titan,伦纳特·拉夫,阿拉什·阿梅尔,萨姆·沃辛顿,泰勒·席林,汤姆·威尔金森,"['科幻', '惊悚']",97分钟,2018,美国 / 英国, 英语,4.5
339,夺命来电 Cell,托德·威廉姆斯,亚当·阿莱卡,塞缪尔·杰克逊,约翰·库萨克,伊莎贝拉·弗尔曼,"['科幻', '惊悚', '恐怖']",98分钟,2016,美国, 英语,4.5
340,幻世追踪 Vice,布莱恩·A·米勒,Fabrizio De Andrè,布鲁斯·威利斯,安拜·柴尔德斯,托马斯·简,"['动作', '科幻', '惊悚', '冒险']",96分钟,2015,美国, 英语,4.5
341,怪兽：黑暗大陆 Monsters: The Dark Continent,Tom Green,Tom Green,约翰尼·哈里斯,约瑟夫·戴浦西,山姆·基利,"['剧情', '科幻', '惊悚']",119分钟,2014,英国, 英语,4.5
342,全城戒备,陈木胜,陈木胜,郭富城,舒淇,邹兆龙,"['动作', '科幻', '惊悚']",110 分钟(香港),2010,香港 / 中国大陆, 粤语 / 汉语普通话,4.4
343,神奇四侠2015 Fantastic Four,乔什·特兰克,西蒙·金伯格,迈尔斯·特勒,凯特·玛拉,迈克尔·B·乔丹,"['动作', '科幻', '冒险']",100分钟,2015,美国 / 英国 / 德国, 英语,4.4
344,机器猛犬 A.X.L.,奥利弗·达利,奥利弗·达利,托马斯·简,贝姬·戈麦斯,多米尼克·瑞恩斯,"['科幻', '冒险']",100分钟,2018,美国, 英语,4.4
345,人类办事处 The Humanity Bureau,罗布·W·金,Dave Schultz,尼古拉斯·凯奇,休·狄伦,维斯勒·夏农,"['动作', '科幻']",95分钟,2017,加拿大, 英语,4.4
346,彗星来的那一夜 Coherence,詹姆斯·沃德·布柯特,詹姆斯·沃德·布柯特,艾米丽·芭尔多尼,莫瑞·史特林,尼古拉斯·布兰登,"['科幻', '悬疑', '惊悚']",89分钟,2013,美国 / 英国, 英语,8.5
347,这个男人来自地球 The Man from Earth,理查德·沙因克曼,杰罗姆·比克斯比,大卫·李·史密斯,托尼·托德,约翰·比灵斯列,"['剧情', '科幻']",87 分钟,2007,美国, 英语,8.5
348,发条橙 A Clockwork Orange,斯坦利·库布里克,斯坦利·库布里克,马尔科姆·麦克道威尔,帕特里克·马基,迈克尔·贝茨,"['剧情', '科幻', '犯罪']",136 分钟,1971,英国 / 美国, 英语,8.5
349,E.T. 外星人 E.T.: The Extra-Terrestrial,史蒂文·斯皮尔伯格,梅丽莎·马西森,亨利·托马斯,迪·沃伦斯,罗伯特·麦克纳夫顿,"['剧情', '科幻']",115分钟,1982,美国, 英语,8.5
350,黑客帝国2：重装上阵 The Matrix Reloaded,莉莉·沃卓斯基,莉莉·沃卓斯基,基努·里维斯,凯瑞-安·莫斯,劳伦斯·菲什伯恩,"['动作', '科幻']",138分钟,2003,美国 / 澳大利亚, 英语 / 法语,8.5
351,月球 Moon,邓肯·琼斯,邓肯·琼斯,山姆·洛克威尔,凯文·史派西,多米妮克·麦克艾丽戈特,"['剧情', '科幻', '悬疑']",97 分钟,2009,英国, 英语 / 西班牙语,8.5
352,K星异客 K-PAX,伊恩·索夫特雷,查尔斯·里维特,凯文·史派西,杰夫·布里吉斯,玛丽·麦克科马克,"['剧情', '科幻']",120分钟,2001,美国 / 德国, 英语,8.5
353,机器管家 Bicentennial Man,克里斯·哥伦布,尼古拉斯·卡赞,罗宾·威廉姆斯,艾伯丝·戴维兹,山姆·尼尔,"['剧情', '喜剧', '科幻']",132分钟,1999,美国 / 德国, 英语,8.5
