,a,c,e,g,i,k,l,m,n,o,p,q
804,四眼天鸡 Chicken Little,马克·汀戴尔,Steve Bencich,扎克·布拉夫,盖瑞·马歇尔,史蒂夫·茨恩,"['喜剧', '科幻', '动画', '家庭', '冒险']",81 分钟,2005,美国, 英语,6.7
805,怪形前传 The Thing,Matthijs van Heijningen Jr.,罗纳德·D·摩尔,玛丽·伊丽莎白·温斯特德,乔尔·埃哲顿,Adewale Akinnuoye-Agbaje,"['科幻', '悬疑', '惊悚', '恐怖']",102分钟,2011,美国 / 加拿大, 英语,6.7
806,疯狂的兔子,崔小芹,张之路,柳田,赵梦洋,陈述,"['科幻', '惊悚', '儿童']",82分钟,1997,中国大陆, 普通话,6.7
807,飙风战警 Wild Wild West,巴里·索南菲尔德,S.S. Wilson,威尔·史密斯,凯文·克莱恩,萨尔玛·海耶克,"['喜剧', '动作', '科幻', '西部']",106 分钟,1999,美国, 英语,6.7
808,捉鬼敢死队 Ghostbusters,伊万·雷特曼,丹·艾克罗伊德,比尔·默瑞,丹·艾克罗伊德,西格妮·韦弗,"['喜剧', '科幻', '奇幻']",105 分钟,1984,美国, 英语,6.7
809,派对搭讪秘诀 How to Talk to Girls at Parties,约翰·卡梅隆·米切尔,菲里帕·格斯莱特,妮可·基德曼,露丝·威尔森,艾丽·范宁,"['喜剧', '爱情', '科幻', '音乐']",102分钟,2017,英国 / 美国, 英语,6.7
810,星河战队：入侵 Starship Troopers: Invasion,荒牧伸志,罗伯特·A·海因莱因,Leraldo Anzaldua,Luci Christian,Melissa Davis,"['动作', '科幻', '动画']",89分钟,2012,美国 / 日本, 英语,6.7
811,孤岛终结,王人超,王人超,田多多,廖浠,李磊,"['剧情', '科幻']",60分钟,2017,中国大陆, 汉语普通话,6.5
812,天魔回魂 Prince of Darkness,约翰·卡朋特,约翰·卡朋特,唐纳德·普利森斯,黄自强,丽萨·布伦特,"['科幻', '恐怖']",102 分钟,1987,美国, 英语,6.5
813,鬼追人 Phantasm,唐·柯斯卡莱利,唐·柯斯卡莱利,A. Michael Baldwin,Bill Thornbury,Reggie Bannister,"['科幻', '悬疑', '恐怖', '奇幻']",88 分钟,1979,美国, 英语,6.5
