,a,c,e,g,i,k,l,m,n,o,p,q
3382,布克和海尔 Burke and Hare,约翰·兰迪斯,Piers Ashworth,西蒙·佩吉,安迪·瑟金斯,艾拉·菲舍尔 Isla Fisher,"['喜剧', '惊悚']",91分钟,2010,英国, 英语,6.7
3383,天使的微笑 A Little Bit of Heaven,Nicole Kassell,格伦·威尔斯,凯特·哈德森,盖尔·加西亚·贝纳尔,彼特·丁拉基,"['剧情', '喜剧', '爱情']",106分钟,2011,美国, 英语,6.7
3384,呆呆向前冲 The Waterboy,弗兰克·克拉斯,提姆·赫利希,亚当·桑德勒,凯西·贝茨,费尔鲁扎·鲍克,"['喜剧', '运动']",90 分钟,1998,美国, 英语,6.7
3385,花之武者 花よりもなほ,是枝裕和,是枝裕和,冈田准一,宫泽理惠,浅野忠信,"['剧情', '喜剧']",Japan: 127 分钟,2006,日本, 日语,6.7
3386,亚历克斯与艾玛 Alex & Emma,罗伯·莱纳,Jeremy Leven,卢克·威尔逊,凯特·哈德森,苏菲·玛索,"['喜剧', '爱情']",USA: 96 分钟,2003,美国, 英语 / 法语,6.7
3387,永无结局的故事 네버엔딩스토리,郑用柱,李炳宪,严泰雄,郑丽媛,柳善,"['喜剧', '爱情']",114分钟,2011,韩国, 韩语,6.7
3388,夜玫瑰,胡玥,胡玥,林心如,钟汉良,马天宇,"['剧情', '喜剧', '爱情']",99分钟,2009,中国大陆, 汉语普通话,6.7
3389,老家伙 Old Dogs,沃尔特·拜克,David Diamond,约翰·特拉沃尔塔,罗宾·威廉姆斯,凯利·普雷斯顿,"['喜剧', '家庭']",88 分钟(美国),2009,美国, 英语 / 乌克兰语,6.4
3390,蠢蛋搞怪秀4：坏外公 Jackass Presents: Bad Grandpa,杰夫·特里梅因,斯派克·琼斯,约翰尼·诺克斯维尔,杰克逊·尼科尔,类型:,['喜剧'],93分钟,2013,美国, 英语,6.4
3391,一狱一世界：高登阔少蹲监日记 壹獄壹世界：高登闊少踎監日記,孙立基,胡耀辉,王宗尧,张建声,蔡瀚亿,['喜剧'],108分钟,2015,香港, 粤语,6.4
3392,查理必死 The Necessary Death of Charlie Countryman,弗雷德里克·邦德,马特·德雷克,希亚·拉博夫,埃文·蕾切尔·伍德,麦斯·米科尔森,"['喜剧', '动作', '爱情']",108分钟,2013,罗马尼亚 / 美国, 英语 / 罗马尼亚语,6.4
3393,三个臭皮匠 The Three Stooges,博比·法雷里,博比·法雷里,西恩·海耶斯,威尔·萨索,克里斯·迪亚曼托普洛斯,['喜剧'],92分钟,2012,美国, 英语,6.4
3394,急冻奇侠,霍耀良,麦当雄,元彪,元华,张曼玉,"['喜剧', '动作', '爱情', '科幻']",114 分钟,1989,香港, 粤语,6.4
3395,92霸王花与霸王花,钱升玮,邝文伟,杨丽菁,李赛凤,吴君如,"['喜剧', '动作']",93 分钟,1992,香港, 粤语 / 汉语普通话,6.4
3396,食客 식객,田昀树,徐英万,金康宇,林元熙,李荷娜,"['剧情', '喜剧']",113分钟,2007,韩国, 韩语,6.4
3397,完美广播 원더풀 라디오,权七仁,金帝荣,李珉廷,李廷镇,李光洙,"['喜剧', '爱情']",120分钟,2012,韩国, 韩语,6.4
3398,即时发生 What Just Happened?,巴瑞·莱文森,Art Linson,罗伯特·德尼罗,西恩·潘,凯瑟琳·基纳,"['剧情', '喜剧']",104 分钟,2008,美国, 英语 / 希伯来语 / 法语,6.4
3399,爱上百分百英雄 愛上百份百英雄,王晶,王晶,郑伊健,陈小春,梁咏琪,"['喜剧', '动作']",96 分钟,1997,香港, 粤语,6.4
3400,断头气 Severance,克里斯托弗·史密斯,詹姆斯·莫伦,丹尼·戴尔,劳拉·哈里斯,克劳迪·布莱克利,"['喜剧', '惊悚', '恐怖']",96 分钟,2006,英国 / 德国, 英语 / 俄语 / 匈牙利语,6.4
3401,单身男子俱乐部 Old School,托德·菲利普斯,Court Crandall,卢克·威尔逊,威尔·法瑞尔,文斯·沃恩,['喜剧'],91 分钟,2003,美国, 英语,6.4
3402,英语老师 The English Teacher,克雷格·兹斯克,丹·查里顿,朱丽安·摩尔,莉莉·柯林斯,迈克尔·安格拉诺,"['剧情', '喜剧']",93分钟,2013,美国, 英语,6.4
3403,新小屁孩日记 Diary of a Wimpy Kid: The Long Haul,大卫·博维斯,杰夫·金尼,杰森·德鲁克,艾丽西亚·希尔维斯通,汤姆·艾弗瑞特·斯科特,"['喜剧', '儿童']",91分钟,2017,美国, 英语,6.1
3404,男上女下,邱礼涛,邱礼涛,陈小春,卢巧音,邓健泓,"['喜剧', '爱情']",93分钟,2004,香港, 粤语,6.1
3405,女人不坏,徐克,徐克,周迅,桂纶镁,张雨绮,['喜剧'],116分钟,2008,中国大陆 / 香港, 汉语普通话 / 韩语 / 乌兹别克语,6.0
3406,情圣,宋晓飞,李潇,肖央,闫妮,小沈阳,['喜剧'],116分钟,2016,中国大陆, 汉语普通话,6.0
3407,绝世高手,卢正雨,卢正雨,卢正雨,郭采洁,范伟,"['喜剧', '动作']",116分钟,2017,中国大陆, 汉语普通话,6.0
3408,花好月圆,叶锦鸿,叶锦鸿,杨千嬅,任贤齐,钟镇涛,"['喜剧', '爱情', '古装']",105分钟,2004,香港, 粤语,6.0
3409,决战刹马镇,李蔚然,周智勇,孙红雷,林志玲,李立群,"['喜剧', '西部', '冒险']",104分钟,2010,中国大陆, 汉语普通话,6.0
3410,华丽上班族 華麗上班族,杜琪峰,张艾嘉,周润发,张艾嘉,陈奕迅,"['剧情', '喜剧', '爱情', '歌舞']",119分钟,2015,香港 / 中国大陆, 汉语普通话 / 粤语 / 英语,6.0
3411,最爱女人购物狂,韦家辉,韦家辉,刘青云,张柏芝,陈小春,"['喜剧', '爱情']",92分钟,2006,香港, 粤语,6.0
3412,百年好合,杜琪峰,韦家辉,郑秀文,古天乐,李冰冰,"['喜剧', '动作', '爱情']",93分钟,2003,中国大陆 / 香港, 粤语 / 普通话,6.0
3413,坏蛋必须死,孙皓,扈晶波,陈柏霖,孙艺珍,乔振宇,"['喜剧', '动作', '悬疑', '犯罪']",104分钟,2015,中国大陆 / 香港 / 韩国, 韩语 / 汉语普通话,6.0
3414,环游地球八十天 Around the World in 80 Days,弗兰克·克拉斯,大卫·N·提驰,成龙 Jackie Chan,史蒂夫·库根,塞西尔·德·弗朗斯,"['喜剧', '动作', '冒险']",120 分钟,2004,美国 / 德国 / 爱尔兰 / 英国, 英语 / 粤语 / 法语 / 德语 / 土耳其语 / 北印度语,6.0
