,a,c,e,g,i,k,l,m,n,o,p,q
1760,县厅招待课 県庁おもてなし課,三宅喜重,冈田惠和,锦户亮,堀北真希,关惠美,"['喜剧', '爱情']",123分钟,2013,日本, 日语,6.6
1761,未来之人 O Homem do Futuro,克拉迪奥托里斯,克拉迪奥托里斯,瓦格纳·马拉,艾琳·莫拉斯,玛丽娅路易莎蒙多卡,"['喜剧', '奇幻']",106分钟,2011,巴西, 葡萄牙语,6.6
1762,读书会 Book Club,比尔·霍德曼,比尔·霍德曼,艾丽西亚·希尔维斯通,简·方达,玛丽·斯汀伯根,"['剧情', '喜剧', '爱情']",104分钟,2018,美国, 英语,6.6
1763,爱情达阵 Leatherheads,乔治·克鲁尼,Duncan Brantley,乔治·克鲁尼,蕾妮·齐薇格,约翰·卡拉辛斯基,"['剧情', '喜剧', '爱情', '运动']",114 分钟,2008,美国 / 德国, 英语,6.6
1764,伴我梦游 Sleepwalk with Me,迈克·比尔比利亚,迈克·比尔比利亚,劳伦·艾波罗丝,Alberto Bonilla,Danny Borbon,"['剧情', '喜剧', '爱情']",80分钟,2012,美国, 英语,6.6
1765,幼儿园警探 Kindergarten Cop,伊万·雷特曼,赫舍尔·魏因格罗德,阿诺·施瓦辛格,佩内洛普·安·米勒,帕梅拉·里德,"['喜剧', '动作', '惊悚', '犯罪']",111 分钟,1990,美国, 英语 / 西班牙语,6.6
1766,窈窕舞妓 舞妓はレディ,周防正行,周防正行,上白石萌音,长谷川博己,富司纯子,['喜剧'],135分钟,2014,日本, 日语,6.6
1767,Oh！我的幽灵鬼 โอ้มายโกสต์ คุณผีช่วย,Puttipong Pormsaka Na-Sakonnakorn,Cris,Cris,苏达拉·布查蓬,类型:,"['剧情', '喜剧', '恐怖', '鬼怪']",104分钟,2013,泰国, 泰语,6.6
1768,放学后的屋顶 방과후 옥상,李石勋,李石勋,奉太奎,金太贤,河锡辰,['喜剧'],103分钟,2006,韩国, 韩语,6.6
1769,早安秀 グッドモーニングショー,君塚良一,君塚良一,中井贵一,长泽雅美,志田未来,['喜剧'],104分钟,2016,日本, 日语,6.6
1770,新娘与偏见 Bride & Prejudice,顾伦德·查达哈,顾伦德·查达哈,艾西瓦娅·雷,马丁·亨德森,阿努潘·凯尔,"['剧情', '喜剧', '爱情', '歌舞']",111分钟(国际版),2004,英国 / 美国, 英语 / 北印度语 / 旁遮普语 / 西班牙语,6.6
1771,乡下姑娘 Suburban Girl,Marc Klein,Marc Klein,莎拉·米歇尔·盖拉,亚历克·鲍德温,Dennis Albanese,"['剧情', '喜剧', '爱情']",97 分钟,2007,美国, 英语,6.6
1772,神探朱古力,陈欣健,许冠文,许冠文,许冠英,梅艳芳,"['喜剧', '犯罪']",101 分钟,1986,香港, 粤语,6.6
1773,空中塞车 Pushing Tin,迈克·内威尔,Glen Charles,约翰·库萨克,比利·鲍伯·松顿,凯特·布兰切特,"['剧情', '喜剧', '爱情']",124 分钟,1999,美国 / 德国, 英语,6.6
1774,在这个世界 In a World...,蕾克·贝尔,蕾克·贝尔,蕾克·贝尔,弗雷德·迈拉麦德,迪米特利·马丁,['喜剧'],93分钟,2013,美国, 英语,6.6
1775,肩外的恋人 어깨너머의 연인,李彦禧,高尹熙,李美妍,李泰兰,金俊成,"['剧情', '喜剧', '爱情']",100分钟,2007,韩国, 韩语,6.6
1776,赤足 Barefoot,安德鲁·弗莱明,Stephen Zotnowski,埃文·蕾切尔·伍德,斯科特·斯比德曼,J·K·西蒙斯,"['剧情', '喜剧', '爱情']",90分钟,2014,美国, 英语,6.3
1777,假装热情 열정같은소리하고있네,郑基训,郑基训,郑在咏,朴宝英,吴达洙,['喜剧'],106分钟,2015,韩国, 韩语,6.3
1778,斯通家族 The Family Stone,托马斯·伯祖查,托马斯·伯祖查,克莱尔·丹妮丝,黛安·基顿,瑞秋·麦克亚当斯,"['剧情', '喜剧', '爱情', '家庭']",103 分钟,2005,美国, 英语 / 美国手语,6.3
1779,异形魔怪2 Tremors II: Aftershocks,S·S·威尔逊,布伦特·马多克,弗莱德·沃德,克里斯托弗·加廷,海伦·谢费,"['喜剧', '动作', '科幻', '惊悚', '恐怖']",100 分钟,1996,美国, 英语 / 西班牙语,6.3
1780,死开啲啦 死開啲啦,梁国斌,谭广源,林德信,雷琛瑜,河国荣,"['剧情', '喜剧', '惊悚']",92分钟,2015,香港, 粤语,6.3
1781,追击8月15,马伟豪,马伟豪,郑中基,蔡卓妍,秦海璐,"['喜剧', '科幻']",114分钟,2004,香港 / 中国大陆, 粤语,6.3
1782,哗鬼旅行团,刘仕裕,张华标,林正英,吴君如,邱建国,"['喜剧', '恐怖']",100分钟,1992,香港, 粤语,6.3
1783,呆呆精灵 Hui Buh,塞巴斯蒂安·尼曼,德克·阿内尔,米夏埃尔·赫尔比希,克里斯托夫·玛丽亚·赫布斯特,海克·玛卡琪,"['喜剧', '动画', '恐怖', '奇幻', '冒险']",Germany: 103 分钟,2006,德国, 德语,6.3
1784,全国歌唱竞赛 전국노래자랑,李宗弼,李宗弼,金仁权,柳贤静,金秀美,"['喜剧', '爱情']",112分钟,2013,韩国, 韩语,6.3
1785,塔玛拉·德鲁 Tamara Drewe,斯蒂芬·弗雷斯,Moira Buffini,杰玛·阿特登,卢克·伊万斯,多米尼克·库珀,['喜剧'],111分钟,2010,英国, 英语,6.3
1786,凶猫 兇貓,余允抗,王晶,刘家良,王晶,郑浩南,"['喜剧', '恐怖', '奇幻']",91 分钟,1987,香港, 粤语,6.3
1787,红色警探 Red Heat,沃尔特·希尔,哈里·克莱纳,阿诺·施瓦辛格,詹姆斯·贝鲁什,彼得·博伊尔,"['喜剧', '动作', '惊悚', '犯罪']",104 分钟,1988,美国, 英语 / 俄语,6.3
1788,朝鲜名侦探：奴隶的女儿 조선명탐정 : 사라진 놉의 딸,金锡允,金锡允,金明民,吴达洙,李沇熹,"['喜剧', '犯罪']",125分钟,2015,韩国, 韩语,6.3
1789,沙滩仔与周师奶,杜琪峰,曾谨昌,梁朝伟,吴倩莲,吴孟达,['喜剧'],89 分钟,1991,香港, 粤语,6.3
1790,珠光宝气 珠光寶氣,王晶,王晶,袁咏仪,钟丽缇,陈小春,"['喜剧', '爱情']",97 分钟,1994,香港, 粤语,6.3
1791,昆宝出拳 Kung Pow: Enter the Fist,史蒂夫·欧德科克,史蒂夫·欧德科克,史蒂夫·欧德科克,龙飞,Jennifer Tung,"['喜剧', '动作']",81 分钟,2002,美国 / 香港, 英语,6.3
1792,故事贩卖机,朱佳梦  ,于飞,曹云金,赵达,邵芸,"['喜剧', '爱情', '悬疑', '奇幻']",84分钟,2018,中国大陆, 汉语普通话,5.9
1793,大明星从军记 Major Movie Star,史蒂夫·迈纳,April Blair,杰西卡·辛普森,瑞安·斯派克,切里·奥特莱,['喜剧'],98 分钟,2008,美国, 英语,5.9
1794,克朗普斯 Krampus,迈克尔·道赫蒂,托德·凯西,亚当·斯科特,托妮·科莱特,艾莉森·托尔曼,"['喜剧', '恐怖', '奇幻']",98分钟,2015,美国, 英语,5.9
1795,小双侠 ヤッターマン,三池崇史,吉田龙夫,樱井翔,福田沙纪,深田恭子,"['喜剧', '动作']",Germany: 119 分钟(European Film Market),2009,日本, 日语,5.9
1796,千金傲游记 Sharpay's Fabulous Adventure,迈克尔·莱拜克,Robert Horn,阿什丽·提斯代尔,Austin Butler,约翰·古德曼,"['剧情', '喜剧', '家庭']",90分钟,2011,美国, 英语,5.9
1797,怪物大乱斗 Freaks of Nature,罗比·皮克林,奥伦·尤济尔,麦肯兹·戴维斯,爱德·维斯特维克,琼·库萨克,"['喜剧', '恐怖']",92分钟,2015,美国, 英语,5.9
1798,黑豹天下,霍耀良,曾瑾昌,邓光荣,梁家辉,任达华,"['喜剧', '动作', '犯罪']",91 分钟,1993,香港, 粤语 / 汉语普通话 / 英语,5.9
1799,疯狂修道院 The Little Hours,杰夫·拜纳,杰夫·拜纳,爱丽森·布里,戴夫·弗兰科,凯特·米库奇,"['喜剧', '爱情']",90分钟,2017,美国 / 加拿大, 英语,5.9
1800,毕业舞会 Prom,乔·努斯鲍姆,Katie Wech,Thomas McDonell,艾米·缇加登,丹妮尔·帕娜贝克,"['剧情', '喜剧']",104分钟,2011,美国, 英语,5.9
1801,塔米的旅行 Tammy,本·法尔科内,本·法尔科内,梅丽莎·麦卡西,苏珊·萨兰登,凯西·贝茨,['喜剧'],96分钟,2014,美国, 英语,5.9
1802,赢钱专家 贏錢專家,王晶,王晶,王晶,邱淑贞,吴君如,['喜剧'],100分钟,1991,香港, 粤语,5.9
1803,真田十勇士 真人版,堤幸彦,牧野希,中村勘九郎,松坂桃李,大岛优子,"['喜剧', '动作']",135分钟,2016,日本, 日语,5.9
1804,偶像有约 Win a Date with Tad Hamilton!,罗伯特·路克蒂克,维克多·列文,凯特·波茨沃斯,乔什·杜哈明,托弗·戈瑞斯,"['喜剧', '爱情']",USA: 95 分钟,2004,美国, 英语,5.9
1805,终点的婚礼 Destination Wedding,维克多·列文,维克多·列文,基努·里维斯,薇诺娜·瑞德,德杰·达伦巴奇,"['剧情', '喜剧', '爱情']",90分钟,2018,美国, 英语,5.9
1806,终极神鹰 Hudson Hawk,Michael Lehmann,布鲁斯·威利斯,Bruce Willis,Danny Aiello,Andie MacDowell,"['喜剧', '动作', '冒险']",100 分钟,1991,美国, 英语 / 意大利语,5.9
1807,僵尸医生 殭屍醫生,陆剑明,陆剑明,林保怡,陈雅伦,陈淑兰,"['喜剧', '爱情', '恐怖']",98 分钟,1990,香港, 粤语,5.9
1808,胡杨的夏天,朱时茂,张园,朱一龙,姜瑞佳,张文婷,"['喜剧', '爱情']",90分钟,2017,中国大陆, 汉语普通话,5.1
1809,啊朋友还钱,卫捷,卫捷,聂远,焦恩俊,胡可,['喜剧'],94分钟,2013,中国大陆, 汉语普通话,5.1
1810,一不留神,梁超,周知庸,范文芳,刘桦,苗圃,['喜剧'],95分钟,2010,中国大陆, 汉语普通话,5.1
1811,约会电影 Date Movie,Aaron Seltzer,Jason Friedberg,艾丽森·汉妮根,亚当·坎贝尔,苏菲·蒙克,"['喜剧', '爱情']",83 分钟,2006,美国 / 瑞士, 英语,5.1
1812,愤怒乒乓球 Balls of Fury,罗伯特·本·加兰特,托马斯·列农,Darryl Chan,布雷特·德尔布罗诺,李美琪,"['喜剧', '动作', '爱情', '犯罪', '运动']",90 分钟,2007,美国, 英语 / 汉语普通话,5.1
1813,金钱第一 One for the Money,朱莉·安妮·罗宾逊,斯泰西·谢尔曼,凯瑟琳·海格尔,丹尼尔·逊亚塔,杰森·奥玛拉,"['喜剧', '动作', '惊悚', '犯罪']",106分钟,2012,美国, 英语,5.1
1814,极道大战争 極道大戦争,三池崇史,山口义高,市原隼人,雅彦·鲁伊安,成海璃子,"['喜剧', '动作', '恐怖']",115分钟,2015,日本, 日语,5.1
1815,害虫横行 Infestation,Kyle Rankin,Chris Marquette ...  Cooper,Chris Marquette ...  Cooper,Brooke Nevin ...  Sara,Jim Cody Williams ...  Jed,"['喜剧', '动作', '科幻', '恐怖']",91 分钟,2009,美国, 英语,5.1
1816,中转停留 The Layover,威廉姆·H·梅西,大卫·霍恩斯比,凯特·阿普顿,亚历珊德拉·达达里奥,马特·巴尔,['喜剧'],88分钟,2017,美国, 英语,5.1
1817,灰机灰机,陈柏坚,陈柏坚,柳岩,肖央,类型:,"['剧情', '喜剧']",36分钟,2012,中国大陆, 汉语普通话,5.1
1818,开饭啦！ 開飯啦！,杜汶泽,杜汶泽,杜汶泽,陈茵媺,卢海鹏,['喜剧'],96分钟,2016,马来西亚 / 新加坡 / 香港, 粤语,5.1
1819,乌龙保镖 Witless Protection,查尔斯·罗伯特·卡纳,查尔斯·罗伯特·卡纳,王牌接线员拉里,理查德·布尔,J. David Moeller,"['喜剧', '犯罪']",USA: 97 分钟,2008,美国, 英语,5.1
1820,致命恋爱 목숨 건 연애,宋闵奎,金巴达,河智苑,千正明,陈柏霖,"['喜剧', '爱情', '惊悚']",103分钟,2016,韩国, 韩语,5.1
1821,拳霸3之火云盗 ฅนไฟบิน,Chalerm Wongpim,Chalerm Wongpim,Dan Chupong ... Chiang,Leo Putt ... Phraya Wang,Leo Putt ... Phraya Wang,"['喜剧', '动作']",103 分钟,2006,泰国, 泰语 / Indian Sign Language,5.1
1822,吸血鬼大电影 Transylmania,David Hillenbrand,Patrick Casey,Patrick Cavanaugh,James DeBello,Tony Denman,"['喜剧', '恐怖']",92 分钟,2009,美国, 英语,5.1
1823,分手大师,俞白眉,俞白眉,邓超,杨幂,古力娜扎,"['喜剧', '爱情']",116分钟,2014,中国大陆, 汉语普通话 / 克里奥尔语 / 英语 / 日语 / 上海话,5.0
1824,捉妖记2,许诚毅,吴炜伦,梁朝伟,白百何,井柏然,"['喜剧', '奇幻']",110分钟,2018,中国大陆 / 香港, 汉语普通话,5.0
1825,功夫瑜伽,唐季礼,唐季礼,成龙,李治廷,张艺兴,"['喜剧', '动作', '冒险']",108分钟,2017,中国大陆 / 印度, 汉语普通话 / 英语 / 印地语 / 阿拉伯语,5.0
1826,前任2：备胎反击战,田羽生,老史,郑恺,郭采洁,王传君,"['喜剧', '爱情']",114分钟,2015,中国大陆 / 香港, 汉语普通话,5.0
1827,92黑玫瑰对黑玫瑰 92黑玫瑰對黑玫瑰,刘镇伟,刘镇伟,梁家辉,邵美琪,毛舜筠,"['喜剧', '动作', '爱情', '歌舞']",95分钟,1992,香港, 粤语,7.4
1828,小屁孩日记2 Diary of a Wimpy Kid 2: Rodrick Rules,大卫·博维斯,加布·萨克斯,扎克瑞·戈登,戴文·博斯蒂克,瑞秋·哈里斯,['喜剧'],93分钟,2011,美国, 英语,7.4
1829,心如折纸 Paper Heart,尼古拉斯·杰森诺维克,尼古拉斯·杰森诺维克,查琳·易,迈克尔·塞拉,杰克·约翰逊,"['剧情', '喜剧', '爱情']",87分钟,2009,美国, 英语,7.4
1830,夏日之王 The Kings of Summer,乔丹·沃格特-罗伯茨,克里斯·加莱塔,加布里埃尔·巴索,尼克·罗宾森,莫伊塞斯·阿里亚斯,"['剧情', '喜剧']",95分钟,2013,美国, 英语,7.4
1831,新乌龙院2无敌反斗星,朱延平,谭志华,郝劭文,释小龙,吴孟达,"['喜剧', '动作', '奇幻', '冒险']",94分钟,1995,台湾 / 香港, 汉语普通话,7.4
1832,失常 Anomalisa,查理·考夫曼,查理·考夫曼,大卫·休里斯,詹妮弗·杰森·李,汤姆·诺南,"['喜剧', '动画', '奇幻']",90分钟,2015,美国, 英语,7.4
1833,史努比：花生大电影 The Peanuts Movie,史蒂夫·马蒂诺,布莱恩·舒尔茨,诺亚·施纳普,比尔·莫伦茨,弗朗西斯卡·卡帕尔迪,"['喜剧', '动画', '冒险']",88分钟(中国大陆),2015,美国, 英语,7.4
1834,美人鱼 Splash,朗·霍华德,布莱恩·格雷泽,汤姆·汉克斯,达丽尔·汉纳,尤金·列维,"['喜剧', '爱情', '奇幻']",111分钟,1984,美国, 英语 / 瑞典语,7.4
1835,空前绝后满天飞 Airplane!,大卫·扎克,吉姆·艾布拉姆斯,卡里姆·阿卜杜尔-贾巴尔,劳埃德·布里吉斯,皮特·格拉维斯,['喜剧'],88 分钟,1980,美国, 英语,7.4
1836,完美的他人 완벽한타인,李宰圭,保罗·格诺维塞,柳海真,赵震雄,李瑞镇,"['剧情', '喜剧']",115分钟,2018,韩国, 韩语,7.4
1837,熊出没之雪岭熊风,丁亮,刘富源,张伟,张秉君,谭笑,"['喜剧', '动画', '家庭', '冒险']",96分钟,2015,中国大陆, 汉语普通话,7.4
1838,一路顺风 一路順風,钟孟宏,钟孟宏,许冠文,纳豆,戴立忍,"['剧情', '喜剧', '犯罪', '冒险']",111分钟,2016,台湾, 汉语普通话 / 闽南语 / 粤语 / 泰语,7.4
1839,困在爱中 Stuck in Love,约什·布恩,约什·布恩,莉莉·柯林斯,詹妮弗·康纳利,克里斯汀·贝尔,"['剧情', '喜剧']",96分钟,2012,美国, 英语,7.4
1840,世界上最伟大的父亲 World's Greatest Dad,博卡·格德斯维特,博卡·格德斯维特,罗宾·威廉姆斯,达里尔·沙巴拉,Alexie Gilmore,"['剧情', '喜剧']",99 分钟,2009,美国, 英语,7.4
1841,业余小偷 Small Time Crooks,伍迪·艾伦,伍迪·艾伦,伍迪·艾伦,崔茜·尤玛,休·格兰特,"['喜剧', '犯罪']",94 分钟,2000,美国, 英语,7.4
1842,我只是还没有全力以赴 俺はまだ本気出してないだけ,福田雄一,福田雄一,堤真一,桥本爱,生濑胜久,['喜剧'],105分钟,2013,日本, 日语,7.4
1843,抚养亚利桑纳 Raising Arizona,伊桑·科恩,伊桑·科恩,尼古拉斯·凯奇,霍利·亨特,特雷·威尔逊,"['喜剧', '悬疑', '犯罪', '冒险']",94 分钟,1987,美国, 英语,7.4
1844,最佳拍档2：大显神通 最佳拍檔2：大顯神通,曾志伟,黄百鸣,许冠杰,麦嘉,张艾嘉,"['喜剧', '动作']",Norway: 100 分钟,1983,香港, 粤语,7.4
1845,情定巴黎 French Kiss,劳伦斯·卡斯丹,亚当·布鲁克斯,凯文·克莱恩,梅格·瑞恩,蒂莫西·赫顿,"['喜剧', '爱情']",111 分钟,1995,英国 / 美国, 英语 / 法语,7.4
1846,星爸客 Starbuck,肯·斯科特,肯·斯科特,帕特里克·华德,朱莉·勒布勒东,安托万·贝特朗,['喜剧'],107分钟(中国大陆),2011,加拿大, 法语 / 西班牙语,7.4
1847,我是路人甲,尔冬升,尔冬升,万国鹏,王婷,沈凯,"['剧情', '喜剧']",134分钟,2015,中国大陆 / 香港, 汉语普通话 / 粤语 / 浙江方言,7.1
1848,国家宝藏：夺宝秘笈 National Treasure: Book of Secrets,乔·德特杜巴,玛丽安·韦伯利,尼古拉斯·凯奇,贾斯汀·巴萨,黛安·克鲁格,"['喜剧', '动作', '悬疑', '惊悚', '冒险']",124 分钟,2007,美国, 英语 / 法语,7.1
1849,愤怒的小鸟 Angry Birds,费格尔·雷利,约翰·维蒂,杰森·苏戴奇斯,乔什·加德,丹尼·麦克布莱德,"['喜剧', '动画', '冒险']",97分钟,2016,芬兰 / 美国, 英语,7.1
1850,香肠派对 Sausage Party,康拉德·弗农,塞斯·罗根,塞斯·罗根,克里斯汀·韦格,詹姆斯·弗兰科,"['喜剧', '动画', '冒险']",89分钟,2016,美国, 英语,7.1
1851,比得兔 Peter Rabbit,威尔·古勒,威尔·古勒,詹姆斯·柯登,多姆纳尔·格里森,萝丝·拜恩,"['喜剧', '动画', '冒险']",95分钟,2018,美国 / 英国 / 澳大利亚, 英语,7.1
1852,阅后即焚 Burn After Reading,伊桑·科恩,乔尔·科恩,乔治·克鲁尼,约翰·马尔科维奇,蒂尔达·斯文顿,"['剧情', '喜剧', '犯罪']",96分钟,2008,美国 / 英国 / 法国, 英语,7.1
1853,恋爱回旋 ミックス。,石川淳一,古泽良太,新垣结衣,瑛太,广末凉子,"['喜剧', '运动']",119分钟,2017,日本, 日语,7.1
1854,憨豆特工2 Johnny English Reborn,奥利弗·帕克,哈密斯·麦克尔,罗温·艾金森,吉莲·安德森,多米尼克·威斯特,['喜剧'],100分钟,2011,美国 / 法国 / 英国, 英语,7.1
1855,别惹我 Malavita,吕克·贝松,吕克·贝松,罗伯特·德尼罗,米歇尔·菲佛,迪安娜·阿格隆,"['喜剧', '动作', '惊悚', '犯罪']",111分钟,2013,法国 / 美国, 英语 / 法语,7.1
1856,野孩子 Wild Child,尼克·摩尔,Lucy Dahl,艾玛·罗伯茨,莱西·艾尼斯沃斯,谢尔碧·杨,"['剧情', '喜剧', '爱情']",98分钟,2008,英国 / 美国 / 法国, 英语,7.1
1857,厕所英雄 Toilet - Ek Prem Katha,什里·那拉扬·辛,格丽玛,阿克谢·库玛尔,阿努潘·凯尔,布米·佩德卡尔,"['剧情', '喜剧']",155分钟,2017,印度, 印地语,7.1
1858,赤焰战场2 Red 2,迪恩·帕里索特,乔·霍贝尔,布鲁斯·威利斯,玛丽·露易斯·帕克,凯瑟琳·泽塔-琼斯,"['喜剧', '动作', '犯罪']",116分钟,2013,美国 / 法国 / 加拿大, 英语 / 俄语 / 法语,7.1
1859,咖啡公社 Café Society,伍迪·艾伦,伍迪·艾伦,杰西·艾森伯格,克里斯汀·斯图尔特,史蒂夫·卡瑞尔,"['剧情', '喜剧', '爱情']",96分钟,2016,美国, 英语,7.1
1860,预产期 Due Date,托德·菲利普斯,Alan Freedland,扎克·加利凡纳基斯,小罗伯特·唐尼,杰米·福克斯,"['剧情', '喜剧']",95分钟,2010,美国, 英语 / 西班牙语,7.1
1861,魔法奇缘 Enchanted,凯文·利玛,Bill Kelly,艾米·亚当斯,帕特里克·德姆西,詹姆斯·麦斯登,"['喜剧', '爱情', '动画', '歌舞']",107 分钟,2007,美国, 英语,7.1
1862,我的P.S.搭档 나의 PS 파트너,卞成贤,卞成贤,金雅中,池晟,申素率,"['喜剧', '爱情']",114分钟,2012,韩国, 韩语,7.1
1863,小姐好白 White Chicks,基伦·埃弗瑞·韦恩斯,Andrew McElfresh,肖恩·韦恩斯,马龙·韦恩斯,杰米·金,"['喜剧', '犯罪']",109 分钟,2004,美国, 英语,7.1
1864,即日启程,刘江,查慕春,范伟,居文沛,刘桦,"['剧情', '喜剧']",96分钟,2008,中国大陆, 汉语普通话,7.1
1865,自杀专卖店 Le magasin des suicides,帕特里斯·勒孔特,让·特磊 Jean Teulé,贝纳德·阿兰尔,Isabelle Spade,Isabelle Giami,"['喜剧', '动画', '歌舞']",79分钟,2012,法国 / 加拿大 / 比利时, 法语,7.1
1866,单身指南 How to Be Single,克利斯汀·迪特,艾比·科恩,达科塔·约翰逊,蕾蓓尔·威尔森,爱丽森·布里,"['喜剧', '爱情']",110分钟,2016,美国, 英语,6.8
1867,太坏了 Superbad,格雷格·莫托拉,塞斯·罗根,乔纳·希尔,迈克尔·塞拉,克里斯托夫·梅兹-普莱瑟,['喜剧'],113 分钟,2007,美国, 英语,6.8
1868,约会之夜 Date Night,肖恩·利维,Josh Klausner,史蒂夫·卡瑞尔,蒂娜·菲,马克·沃尔伯格,"['喜剧', '爱情', '犯罪']",88分钟,2010,美国, 英语,6.8
1869,蜜蜂总动员 Bee Movie,Steve Hickner,杰瑞·宋飞,杰瑞·宋飞,蕾妮·齐薇格,马修·布罗德里克,"['喜剧', '动画', '家庭', '冒险']",91 分钟,2007,美国, 英语,6.8
1870,莉琪的异想世界 The Lizzie McGuire Movie,吉姆·弗尔,Ed Decter,希拉里·达芙,亚当·兰伯格,雅尼·吉尔曼,"['喜剧', '爱情', '音乐', '家庭', '冒险']",94 分钟,2003,美国, 英语 / 意大利语,6.8
1871,漫画威龙 漫畫威龍,左颂升,何东,周星驰,萧芳芳,陈百祥,"['喜剧', '动作']",93 分钟,1992,香港, 粤语,6.8
1872,我盛大的希腊婚礼 My Big Fat Greek Wedding,乔尔·兹维克,妮娅·瓦达拉斯,妮娅·瓦达拉斯,迈克尔·康斯坦丁,莱妮·卡赞,"['喜剧', '爱情']",95 分钟,2002,美国 / 加拿大, 英语 / 希腊语,6.8
1873,师兄撞鬼,刘仕裕,徐正康,周星驰,董骠,陈德容,"['喜剧', '动作', '奇幻']",95分钟,1990,香港, 粤语,6.8
1874,偷穿高跟鞋 In Her Shoes,柯蒂斯·汉森,苏珊娜·格兰特,卡梅隆·迪亚兹,托妮·科莱特,雪莉·麦克雷恩,"['剧情', '喜剧', '爱情']",130 分钟,2005,美国 / 德国, 英语,6.8
1875,舞女纯情 댄서의 순정,朴英勋,朴英勋,文根英,朴健衡 Park Geon-Hyeong,朴元尚,"['剧情', '喜剧', '爱情']",110分钟,2005,韩国, 韩语 / 汉语普通话,6.8
1876,豪门夜宴 豪門夜宴,张坚庭,徐小明,曾志伟,郑裕玲,吴耀汉,['喜剧'],97 分钟,1991,香港, 粤语,6.8
1877,女孩要什么 What a Girl Wants,丹尼·高顿,Elizabeth Chandler,阿曼达·贝尼斯,科林·费尔斯,凯利·普雷斯顿,"['剧情', '喜剧', '爱情']",105 分钟,2003,美国, 英语,6.8
1878,赌神3之少年赌神 賭神3之少年賭神,王晶,王晶,黎明,袁咏仪,陈小春,"['剧情', '喜剧', '动作']",102分钟,1996,香港, 粤语 / 英语,6.8
1879,前往希腊剧院 Get Him to the Greek,尼古拉斯·斯托勒,尼古拉斯·斯托勒,拉塞尔·布兰德,乔纳·希尔,萝丝·拜恩,"['喜剧', '音乐', '冒险']",109 分钟,2010,美国, 英语,6.8
1880,"珍妮和朱诺 제니, 주노",金豪俊,金豪俊,金彗星,朴敏智,林东进,['喜剧'],108分钟,2005,韩国, 韩语,6.8
1881,鸡排英雄 雞排英雄,叶天伦,叶丹青,猪哥亮,蓝正龙,柯佳嬿,"['剧情', '喜剧']",124分钟(香港),2011,台湾, 汉语普通话 / 闽南语,6.8
1882,进化危机 Evolution,伊万·雷特曼,Don Jakoby,大卫·杜楚尼,朱丽安·摩尔,奥兰多·琼斯,"['喜剧', '科幻']",101 分钟,2001,美国, 英语,6.8
1883,青少年 Young Adult,贾森·雷特曼,迪亚波罗·科蒂,查理兹·塞隆,帕特里克·威尔森,科莱特·沃夫,"['剧情', '喜剧']",94分钟,2011,美国, 英语,6.8
1884,贴身情人 Two Weeks Notice,Marc Lawrence,Marc Lawrence,桑德拉·布洛克,休·格兰特,艾丽西亚·维特,"['喜剧', '爱情']",101 分钟,2002,美国 / 澳大利亚, 英语,6.8
1885,开心鬼上错身 開心鬼上錯身,黄百鸣,黄百鸣,黄百鸣,谷德昭,郭晋安,"['喜剧', '奇幻']",91 分钟,1991,香港, 粤语,6.8
1886,爱你就捧你 She's Funny That Way,彼得·博格丹诺维奇,彼得·博格丹诺维奇,伊莫琴·普茨,詹妮弗·安妮斯顿,凯瑟琳·哈恩,['喜剧'],93分钟,2014,美国, 英语,6.6
1887,马桶妖怪2 Ghoulies II,阿尔贝·邦,Dennis Paoli,Damon Martin,罗亚尔·达诺,菲尔·方德卡罗,"['喜剧', '恐怖']",89 分钟,1988,美国, 英语,6.6
1888,小偷演员 泥棒役者,西田征史,西田征史,丸山隆平,市村正亲,石桥杏奈,['喜剧'],114分钟,2017,日本, 日语,6.6
1889,麻婆岛 마파도,秋昌旼,金秀美,金秀美,吕运计,李廷镇,['喜剧'],107分钟,2005,韩国, 韩语 / 韩语,6.6
1890,铁板烧 鐵板燒,许冠文,许冠文,许冠文,叶倩文,叶丽仪,['喜剧'],89 分钟,1984,香港, 粤语,6.6
1891,捉放爱 Catch and Release,苏珊娜·格兰特,苏珊娜·格兰特,詹妮弗·加纳,蒂莫西·奥利芬特,朱丽叶特·刘易斯,"['剧情', '喜剧', '爱情']",USA: 124 分钟,2006,美国, 英语,6.6
1892,古巴浪人 Cuban Fury,詹姆斯·格里菲斯,乔恩·布朗,尼克·弗罗斯特,克里斯·奥多德,拉什达·琼斯,['喜剧'],98分钟,2014,英国, 英语,6.6
1893,见爱不怪 Alex Strangelove,克雷格·约翰逊,克雷格·约翰逊,丹尼尔·多尼,马德琳·温斯坦,安东尼奥·马尔齐亚莱,"['喜剧', '同性']",99分钟,2018,美国, 英语,6.6
1894,比佛利拜金狗2 Beverly Hills Chihuahua 2,Alex Zamm,Dannah Feinglass,奥黛塔·雅丝曼 Odette Yustman,克里斯蒂娜·拉金,扎克瑞·戈登,"['喜剧', '家庭']",90分钟,2011,美国, 英语,6.6
1895,爱情和香烟 Romance & Cigarettes,约翰·特托罗,约翰·特托罗,詹姆斯·甘多菲尼,苏珊·萨兰登,凯特·温丝莱特,"['喜剧', '爱情', '歌舞']",105 分钟,2005,美国, 英语,6.6
