,a,c,e,g,i,k,l,m,n,o,p,q
1328,九死 Nine Dead,Chris Shadley,Patrick Wehe Mahoney,Melissa Joan Hart,John Terry,Chip Bent,"['剧情', '悬疑', '惊悚', '恐怖', '犯罪']",98分钟,2010,美国, 英语,6.2
1329,逆转裁判 逆転裁判,三池崇史,饭田武,成宫宽贵,斋藤工,桐谷美玲,"['喜剧', '悬疑', '犯罪']",134分钟,2012,日本, 日语,6.2
1330,鬼影 Shutter,落合正幸,Luke Dawson,乔舒亚·杰克逊,瑞切尔·泰勒,奥菜惠,"['悬疑', '惊悚', '恐怖']",85 分钟,2008,美国, 英语 / 日语,6.2
1331,宁静 Serenity,斯蒂文·奈特,斯蒂文·奈特,马修·麦康纳,安妮·海瑟薇,戴安·琳恩,"['剧情', '科幻', '悬疑']",106分钟,2019,美国, 英语,6.2
1332,黑死病 Black Death,克里斯托弗·史密斯,Dario Poloni,肖恩·宾,卡里斯·范·侯登,金伯莉·尼克松,"['剧情', '动作', '悬疑', '恐怖', '历史', '冒险']",97分钟,2010,英国 / 德国, 英语 / 拉丁语,6.2
1333,人鬼情未了 ゴースト もういちど抱きしめたい,大谷太郎,佐藤嗣麻子,松岛菜菜子,宋承宪,树木希林,"['剧情', '爱情', '悬疑', '惊悚', '奇幻']",115分钟,2010,日本 / 韩国, 日语,6.2
1334,畸形屋 Crooked House,吉勒·巴盖特-布赫内,朱利安·费罗斯,克里斯蒂娜·亨德里克斯,吉莲·安德森,霍纳·妮芙茜,"['剧情', '悬疑', '犯罪']",115分钟,2017,英国, 英语,6.2
1335,爱有来世 The Discovery,查理·麦克道威尔,查理·麦克道威尔,罗伯特·雷德福,玛丽·斯汀伯根,布莱恩·麦卡锡,"['剧情', '爱情', '科幻', '悬疑']",110分钟,2017,美国, 英语,6.2
1336,妖夜回廊 妖夜迴廊,李志超,李志超,吴彦祖,蒋怡,惠英红,"['剧情', '悬疑', '同性']",73分钟,2003,香港, 粤语 / 英语,6.2
1337,午夜凶铃2(美版) The Ring Two,中田秀夫,伊伦·克鲁格,娜奥米·沃茨,西蒙·贝克,大卫·多尔夫曼,"['悬疑', '恐怖']",110分钟,2005,美国, 英语,5.8
1338,禁入直播 Cam,丹尼尔·歌德哈伯,伊莎·马齐,玛德琳·布鲁尔,帕奇·德拉奇,梅洛拉·沃尔特斯,"['悬疑', '惊悚', '恐怖']",94分钟,2018,美国, 英语,5.8
1339,提防老千,王晶,王晶,张家辉,王晶,陈炜,"['悬疑', '犯罪']",Hong Kong: 87 分钟,2006,香港, 粤语,5.8
1340,卡到阴 โคลิค เด็กเห็นผี,皮查农·塔玛杰拉,Pimpan Chalaikupp,Pimpan Chalaikupp,维塔亚·瓦苏格来帕讪,Kulthida Sattabongkoch,"['悬疑', '恐怖']",108分钟,2006,泰国, 泰语,5.8
1341,宫女 궁녀,金美正,崔石焕,朴真熙,林贞恩,徐英姬,"['剧情', '悬疑', '惊悚']",112分钟,2007,韩国, 韩语,5.8
1342,我知道谁杀了我 I Know Who Killed Me,Chris Sivertson,Jeff Hammond,琳赛·洛翰,斯宾塞·加雷特,朱莉娅·奥蒙德,"['悬疑', '惊悚', '犯罪']",USA: 105 分钟,2007,美国, 英语,5.8
1343,天地雄心,陈嘉上,谷德昭,刘德华,李嘉欣,黄秋生,"['爱情', '悬疑', '奇幻']",117分钟,1997,香港, 粤语,5.8
1344,邻里的人们 동네사람들,林镇秀,马东锡,马东锡,金赛纶,李相烨,"['动作', '悬疑']",99分钟,2018,韩国, 韩语,5.8
1345,少女 소녀,崔真星,金时厚,金时厚,金允慧,尹敬浩,"['爱情', '悬疑', '惊悚']",110分钟,2013,韩国, 韩语,5.8
1346,迷河 Lost River,瑞恩·高斯林,瑞恩·高斯林,克里斯蒂娜·亨德里克斯,西尔莎·罗南,伊娃·门德斯,"['剧情', '悬疑', '奇幻']",95分钟,2014,美国, 英语,5.8
1347,遗弃 Abandoned,Michael Feifer,Peter Sullivan,布莱特妮·墨菲,迪恩·凯恩,类型:,"['剧情', '悬疑', '惊悚']",88 分钟,2010,美国, 英语,5.8
1348,牺牲复活者 희생부활자,郭暻泽,郭暻泽,金来沅,金海淑,成东日,"['悬疑', '惊悚']",92分钟,2017,韩国, 韩语,5.8
1349,野兽 La Bête,瓦莱利安·博罗夫奇克,瓦莱利安·博罗夫奇克,Sirpa Lane,Lisbeth Hummel,Elisabeth Kaza,"['剧情', '爱情', '悬疑', '恐怖', '奇幻']",93 分钟,1975,法国, 法语 / 意大利语,5.8
1350,微博有鬼 第一季,吴国勇,徐伊亮,杜海涛,刘陆,王若伊,"['剧情', '悬疑']",65分钟,2011,中国大陆, 汉语普通话,5.8
1351,天蛾人的预言 The Mothman Prophecies,马克·佩灵顿,Richard Hatem,理查·基尔,黛博拉·梅辛,劳拉·琳妮,"['剧情', '悬疑', '惊悚', '恐怖']",119 分钟,2002,美国, 英语,5.8
1352,正义守望者 The Watcher,Joe Charbanic,David Elliot,基努·里维斯,詹姆斯·斯派德,玛丽莎·托梅,"['悬疑', '惊悚', '犯罪']",97 分钟,2000,美国, 英语,5.8
1353,下一个就是你2 Urban Legends: Final Cut,约翰·奥特曼,Paul Harris Boardman,詹妮弗·莫里森,马修·戴维斯,哈特·巴克纳,"['悬疑', '惊悚', '恐怖']",97 分钟,2000,美国, 英语,5.8
1354,心理罪,谢东燊,顾小白,廖凡,李易峰,万茜,"['动作', '悬疑', '犯罪']",110分钟,2017,中国大陆, 汉语普通话,4.9
1355,明明,区雪儿,区雪儿,周迅,吴彦祖,杨祐宁,"['动作', '爱情', '悬疑']",105 分钟,2006,中国大陆 / 香港, 汉语普通话 / 粤语,4.9
1356,消失爱人,黄真真,黄真真,黎明,王珞丹,林俊杰,"['爱情', '悬疑']",109分钟,2016,中国大陆, 汉语普通话,4.9
1357,道高一丈,姜凯阳,姜凯阳,聂远,谭凯,徐露,"['剧情', '悬疑', '犯罪']",96分钟,2018,中国大陆, 汉语普通话,4.9
1358,老九门番外之二月花开,林楠,邓悦,张艺兴,张铭恩,胡耘豪,"['悬疑', '奇幻']",93分钟,2016,中国大陆, 汉语普通话,4.9
1359,完美假妻168,刘镇伟,刘镇伟,徐若瑄,何炅,王学兵,"['喜剧', '爱情', '悬疑']",93分钟,2014,中国大陆, 汉语普通话,4.9
1360,替身 アナザー,古泽健,绫辻行人,山崎贤人,桥本爱,袴田吉彦,['悬疑'],109分钟,2012,日本, 日语,4.9
1361,缄默 Mute,邓肯·琼斯,邓肯·琼斯,亚历山大·斯卡斯加德,保罗·路德,贾斯汀·塞洛克斯,"['科幻', '悬疑', '惊悚']",126分钟,2018,英国 / 德国, 英语 / 德语,4.9
1362,夜之亡灵 Dylan Dog: Dead of Night,Kevin Munroe,托马斯·迈克尔·唐纳利,布兰登·罗斯,安妮塔·布瑞姆,萨姆·亨廷顿,"['悬疑', '惊悚', '恐怖']",108分钟,2010,美国, 英语,4.9
1363,吓死你！ 嚇死你！,钱江汉,钱江汉,李灿森,江若琳,阮民安,"['剧情', '悬疑', '惊悚', '恐怖']",Hong Kong: 85 分钟,2008,香港, 粤语,4.9
1364,还魂之迷失曼谷,刘晨,赵速求,范逸臣,李昕芸,李媛,"['悬疑', '惊悚']",86分钟,2014,中国大陆 / 泰国, 汉语普通话,4.9
1365,爱神 Goddess of Love,乔恩·克劳兹,亚历克西斯·肯德拉,亚历克西斯·肯德拉,伍迪·奈史密斯,伊莉莎白·桑迪,"['剧情', '悬疑', '恐怖']",93分钟,2015,美国 / 加拿大, 英语,4.9
1366,芦苇地 The Reeds,Nick Cohen,Chris Baker,Karl Ashman,Geoff Bell,Anna Brewster,"['悬疑', '惊悚', '恐怖']",86 分钟,2009,英国, 英语,4.9
