,a,c,e,g,i,k,l,m,n,o,p,q
258,孽迷宫 Diabolique,耶利米·S·谢奇克,唐·罗斯,莎朗·斯通,伊莎贝尔·阿佳妮,查兹·帕尔明特瑞,"['剧情', '悬疑', '惊悚', '恐怖']",107 分钟,1996,美国, 英语 / 西班牙语,6.5
259,福尔摩斯：丝缠奇案 Sherlock Holmes and the Case of the Silk Stocking,西蒙·赛伦·琼斯,艾伦·丘比特,鲁伯特·艾弗雷特,伊恩·哈特,迈克尔·法斯宾德,"['剧情', '悬疑', '惊悚', '犯罪']",99分钟,2004,美国 / 英国, 英语,6.5
260,附身 Dorothy Mills,阿涅丝·梅尔莱,阿涅丝·梅尔莱,卡里斯·范·侯登,詹·穆瑞,大卫·莫瑞,"['剧情', '悬疑', '惊悚']",102 分钟,2008,爱尔兰 / 法国, 英语,6.5
261,湖边的少女 La ragazza del lago,Andrea Molaioli,Karin Fossum,Toni Servillo,Omero Antonutti,Marco Baliani,"['悬疑', '惊悚']",95 分钟,2007,意大利, 意大利语,6.5
262,幽灵山庄 幽靈山莊,楚原,楚原,戴良纯,罗烈,楚湘云,"['悬疑', '冒险']",87分钟,1982,香港, 粤语,6.5
263,灵异骇客 Stir of Echoes,大卫·凯普,大卫·凯普,凯文·贝肯,凯瑟琳·厄布,伊里纳·道格拉斯,"['悬疑', '惊悚', '恐怖']",99 分钟,1999,美国, 英语,6.5
264,相棒剧场版3 相棒-劇場版III- 巨大密室！特命係 絶海の孤島へ,和泉圣治,舆水泰弘,水谷丰,成宫宽贵,伊原刚志,"['剧情', '悬疑']",115分钟,2014,日本, 日语,6.5
265,遗落之地 The Abandoned,纳乔·塞达,Jordanka Angelova,Jordanka Angelova,Kalin Arsov,Paraskeva Djukelova,"['悬疑', '惊悚', '恐怖']",99 分钟,2006,西班牙 / 英国 / Bulgaria, 英语 / 俄语,6.2
266,魔岛迷踪 Hierro,Gabe Ibáñez,Javier Gullón,Elena Anaya,Mar Sodupe,类型:,"['悬疑', '惊悚']",94 分钟,2009,西班牙, 西班牙语,6.2
267,少数派力量 The Power of Few,Leone Marucci,Leone Marucci,克里斯托弗·沃肯,考莉安卡·基尔彻,克里斯蒂安·史莱特,"['剧情', '动作', '悬疑', '惊悚', '犯罪']",96分钟(美国),2013,美国, 英语,6.2
268,蒙哥湖 Lake Mungo,Joel Anderson,Joel Anderson,Talia Zucker,Rosie Traynor,David Pledger,"['剧情', '悬疑', '惊悚', '恐怖']",87 分钟,2008,澳大利亚, 英语,6.2
269,黑暗时刻 La hora fría,Elio Quiroga,Elio Quiroga,Jorge Casalduero,Julio Perillán,Omar Muñoz,"['科幻', '悬疑', '恐怖']",Spain: 92 分钟,2006,西班牙, 西班牙语,6.2
270,异型基地 Body Snatchers,阿贝尔·费拉拉,Raymond Cistheri,加布里埃尔·安瓦尔,特里·金尼,比利·沃斯,"['科幻', '悬疑', '惊悚', '恐怖']",87分钟,1993,美国, 英语,6.2
271,冰雪之行 Walking Out,亚历克斯·史密斯,亚历克斯·史密斯,马特·波莫,乔什·维金斯,比尔·普尔曼,"['剧情', '悬疑', '惊悚', '冒险']",95分钟,2017,美国, 英语,6.2
272,黑雪 Nieve negra,马丁·霍达拉,马丁·霍达拉,莱昂纳多·斯巴拉格利亚,莱娅·科斯塔,里卡多·达林,"['剧情', '悬疑', '惊悚', '犯罪']",90分钟,2017,阿根廷 / 西班牙, 西班牙语,6.3
273,狄仁杰之四大天王,徐克,张家鲁,赵又廷,冯绍峰,林更新,"['动作', '悬疑', '奇幻', '武侠', '古装']",132分钟,2018,中国大陆 / 香港, 汉语普通话,6.1
274,二次曝光,李玉,李玉,范冰冰,冯绍峰,霍思燕,"['剧情', '爱情', '悬疑']",106分钟,2012,中国大陆, 汉语普通话,6.1
275,我是证人,安相勋,顾小白,杨幂,鹿晗,王景春,"['剧情', '悬疑', '犯罪']",112分钟,2015,中国大陆 / 韩国, 汉语普通话,6.1
276,圣诞玫瑰,杨采妮,杨采妮,郭富城,桂纶镁,夏雨,"['剧情', '悬疑', '犯罪']",92分钟,2013,中国大陆 / 香港, 汉语普通话 / 粤语,6.1
277,变节：潜罪犯 Laughing Gor之潛罪犯,邱礼涛,叶天成,谢天华,吴镇宇,黄宗泽,"['动作', '悬疑', '犯罪']",84分钟,2011,香港, 粤语 / 缅甸语,6.1
278,汉娜 Hanna,乔·赖特,塞特·洛克海德,西尔莎·罗南,凯特·布兰切特,艾瑞克·巴纳,"['动作', '悬疑', '惊悚', '冒险']",111分钟,2011,美国 / 英国 / 德国, 英语 / 德语,6.1
279,惊声尖叫4 Scream 4,韦斯·克雷文,凯文·威廉姆森,内芙·坎贝尔,柯特妮·考克斯,大卫·阿奎特,"['悬疑', '恐怖', '犯罪']",111分钟,2011,美国, 英语,6.1
280,青魇,邱礼涛,南柯,黄轩,薛凯琪,周楚濋,"['剧情', '悬疑', '恐怖']",86分钟,2012,中国大陆 / 香港, 汉语普通话 / 粤语,6.1
281,纸镇 Paper Towns,杰克·施莱尔,约翰·格林,纳特·沃尔夫,卡拉·迪瓦伊,贾斯蒂斯·史密斯,"['剧情', '爱情', '悬疑']",109分钟,2015,美国, 英语,6.1
282,摩根 Morgan,卢克·斯科特,赛斯·W·欧文,凯特·玛拉,安雅·泰勒-乔伊,露丝·莱斯利,"['科幻', '悬疑', '惊悚']",92分钟,2016,美国, 英语 / 汉语普通话,6.1
283,夺命钢琴 Grand Piano,尤金尼奥·米拉,达米恩·查泽雷,伊莱贾·伍德,约翰·库萨克,凯瑞·碧许,"['悬疑', '惊悚', '音乐']",90分钟,2013,西班牙 / 美国, 英语,5.7
284,老九门番外之四屠黄葵,杜晓雨,南派三叔,胡耘豪,类型:,悬疑,"['悬疑', '奇幻']",77分钟,2016,中国大陆, 汉语普通话,5.7
285,狙击杀手 D-Tox,Jim Gillespie,Ron L. Brinkerhoff,西尔维斯特·史泰龙,查尔斯·达顿,波利·沃克,"['悬疑', '惊悚', '恐怖', '犯罪']",96 分钟,2002,美国 / 德国, 英语,5.7
286,古宝奇缘,徐捷,徐捷,梁永军,景涛,类型:,"['剧情', '喜剧', '悬疑', '犯罪']",99分钟,2011,中国大陆, 汉语普通话 / 方言,5.7
287,水灵 水霊,山本清史,山本清史,井川遥,渡部笃郎,星井七濑,"['剧情', '悬疑', '惊悚', '恐怖']",Japan: 101 分钟,2006,日本, 日语,5.7
288,尸踪现场 The Flock,刘伟强,Hans Bauer,理查·基尔,克莱尔·丹妮丝,艾薇儿·拉维尼,"['剧情', '悬疑', '惊悚', '犯罪']",105 分钟,2007,美国, 英语,5.7
289,完全陌生 Complete Unknown,乔舒亚·马斯顿,乔舒亚·马斯顿,艾琳·达克,蕾切尔·薇兹,Hansel Tan,"['剧情', '悬疑']",90分钟,2016,美国, 英语 / 波斯语,5.7
290,天才J之谜题里的倒计时,曾庆杰,陈思宇,陈思宇,王子清,小夕,"['科幻', '悬疑']",75分钟,2018,中国大陆, 汉语普通话,5.7
291,杀人命盘 The Zodiac,Alexander Bulkley,Alexander Bulkley,贾斯汀·钱伯斯,罗宾·汤尼,罗瑞·卡尔金,"['剧情', '悬疑', '惊悚', '恐怖', '犯罪']",USA: 92 分钟,2005,美国, 英语,5.7
292,恐怖系统 Ils,David Moreau,David Moreau,奥利维亚·波纳梅,米夏埃尔·科恩,Adriana Mocca,"['悬疑', '惊悚', '恐怖']",77 分钟,2006,法国 / 罗马尼亚, 法语 / 罗马尼亚语,5.7
293,寂静岭2 Silent Hill: Revelation 3D,迈克尔·巴塞特,迈克尔·巴塞特,肖恩·宾,凯瑞-安·莫斯,马尔科姆·麦克道威尔,"['悬疑', '惊悚', '恐怖']",94分钟,2012,法国 / 美国 / 加拿大, 英语,5.6
294,本能2 Basic Instinct 2,迈克尔·卡顿-琼斯,Leora Barish,莎朗·斯通,大卫·莫瑞瑟,夏洛特·兰普林,"['悬疑', '惊悚', '情色', '犯罪']",114分钟,2006,美国 / 德国 / 英国 / 西班牙, 英语,5.6
295,情谜 情謎,黎妙雪,黎妙雪,舒淇,余文乐,陈数,"['剧情', '爱情', '悬疑']",105分钟,2012,中国大陆 / 香港, 汉语普通话,5.6
296,水中女妖 Lady in the Water,M·奈特·沙马兰,M·奈特·沙马兰,保罗·吉亚玛提,布莱丝·达拉斯·霍华德,杰弗里·怀特,"['悬疑', '惊悚', '奇幻']",110 分钟,2006,美国, 英语,5.6
297,天鹅绒圆锯 Velvet Buzzsaw,丹·吉尔罗伊,丹·吉尔罗伊,杰克·吉伦哈尔,蕾妮·罗素,托妮·科莱特,"['剧情', '悬疑', '惊悚']",109分钟(圣丹斯电影节),2019,美国, 英语,5.6
298,亚历克斯·克洛斯 Alex Cross,罗伯·科恩,Marc Moss,泰勒·派瑞,马修·福克斯,瑞秋·尼科尔斯,"['动作', '悬疑', '犯罪']",101分钟,2012,美国, 英语,5.6
299,寂静的房子 Silent House,克里斯·肯蒂斯,Gustavo Hernández Pérez,伊丽莎白·奥尔森,Eric Sheffer Stevens,亚当·崔斯,"['剧情', '悬疑', '恐怖']",85分钟,2011,美国 / 法国, 英语,5.6
300,疗养怨 Eloise,罗伯特·莱加托,克里斯托弗·博雷利,艾丽莎·杜什库,罗伯特·帕特里克,切斯·克劳福,"['悬疑', '惊悚', '恐怖']",89分钟,2017,美国, 英语,5.6
301,诡拼车,张力,张力,包小柏,倪景阳,连凯,"['悬疑', '惊悚']",93分钟,2013,中国大陆, 汉语普通话,4.6
302,不速之客,林大雄,李刚,黎明,耿乐,韩彩英,"['悬疑', '犯罪']",94分钟,2016,中国大陆 / 韩国, 汉语普通话,4.6
303,异虫咒 Scourge,Jonas Quastel,Jonas Quastel,Russell Ferrier,Robyn Ledoux,Nic Rhind,"['科幻', '悬疑', '恐怖']",90分钟,2008,加拿大 / 美国, 英语,4.6
304,杀无赦II逃亡之路,托尼·蒂尔斯,郑东影,蓝正龙,邓家佳,韩鹏翼,"['悬疑', '犯罪']",70分钟,2018,中国大陆, 汉语普通话,4.6
305,追捕,吴宇森,陈庆嘉,张涵予,福山雅治,戚薇,"['剧情', '动作', '悬疑']",106分钟,2017,香港 / 中国大陆, 汉语普通话 / 英语 / 日语,4.5
306,全城通缉,汪涛,陈渐,刘烨,赵文卓,秋瓷炫,"['剧情', '悬疑']",104分钟,2014,中国大陆, 汉语普通话,4.5
307,真相禁区,麦咏麟,钟沐轩,任达华,霍建华,张赫,"['悬疑', '犯罪']",108分钟,2016,中国大陆, 汉语普通话,4.5
308,魔轮,王早,周贺,林心如,何润东,金世佳,"['悬疑', '惊悚']",92分钟,2016,中国大陆, 汉语普通话,4.5
309,谎言大爆炸,侯亮,孙坚,孙坚,白冰,潘霜霜,"['喜剧', '悬疑']",88分钟,2016,中国大陆, 汉语普通话,4.5
310,香港大营救,刘一君,陆信,成泰燊,颜丙燕,梁俊一,"['剧情', '动作', '悬疑', '历史']",95分钟,2018,中国大陆, 汉语普通话 / 粤语 / 日语,4.5
311,窦娥奇冤,杨真,李以省,王力可,邱心志,杨昆,"['剧情', '动作', '悬疑']",80分钟,2017,中国大陆, 汉语普通话,4.5
312,凌晨四点的重庆,杨俊汉,杨俊汉,宋宁峰,吕星辰,何泓姗,"['剧情', '爱情', '悬疑']",26分钟,2018,中国大陆, 汉语普通话,4.5
313,迷失地铁,孟瑀,周贺,王真儿,王煜,朱莉,"['剧情', '悬疑']",82分钟,2018,中国大陆, 汉语普通话,4.5
314,极限挑战之皇家宝藏,任静,严敏,黄渤,孙红雷,黄磊,"['喜剧', '悬疑']",101分钟,2016,中国大陆, 汉语普通话,4.4
315,低压槽：欲望之城 低壓槽,张家辉,张家辉,张家辉,徐静蕾,何炅,"['剧情', '动作', '悬疑', '犯罪']",112分钟,2018,中国大陆 / 香港, 汉语普通话 / 粤语 / 英语 / 泰语,4.4
316,神探驾到 浮華宴,黄百鸣,黄子桓,古天乐,张翰,曾志伟,"['喜剧', '爱情', '悬疑', '奇幻']",92分钟,2015,香港 / 中国大陆, 汉语普通话 / 粤语,4.4
317,追凶,彭发,彭发,刘青云,王宝强,江若琳,"['悬疑', '惊悚', '犯罪']",94分钟,2012,香港, 粤语 / 汉语普通话,4.4
318,鲸鱼马戏团 Werckmeister harmóniák,贝拉·塔尔,拉斯洛·卡撒兹纳霍凯,拉尔斯·鲁道夫,彼得·菲茨,汉娜·许古拉,"['剧情', '悬疑']",145 分钟,2000,匈牙利 / 意大利 / 德国 / 法国, 匈牙利语 / 斯洛伐克语,8.8
319,蝴蝶效应 The Butterfly Effect,埃里克·布雷斯,J·麦基·格鲁伯,阿什顿·库彻,梅洛拉·沃尔特斯,艾米·斯马特,"['剧情', '科幻', '悬疑', '惊悚']",113分钟,2004,美国 / 加拿大, 英语,8.7
320,禁闭岛 Shutter Island,马丁·斯科塞斯,莱塔·卡罗格里迪斯,莱昂纳多·迪卡普里奥,马克·鲁弗洛,本·金斯利,"['剧情', '悬疑', '惊悚']",138 分钟,2010,美国, 英语 / 德语,8.7
321,消失的爱人 Gone Girl,大卫·芬奇,吉莉安·弗琳,本·阿弗莱克,裴淳华,尼尔·帕特里克·哈里斯,"['剧情', '悬疑', '惊悚', '犯罪']",149分钟,2014,美国, 英语,8.7
322,致命ID Identity,詹姆斯·曼高德,Michael Cooney,约翰·库萨克,雷·利奥塔,阿曼达·皮特,"['剧情', '悬疑', '惊悚']",90分钟,2003,美国, 英语,8.7
323,哈利·波特与死亡圣器(下) Harry Potter and the Deathly Hallows: Part 2,大卫·叶茨,史蒂夫·克洛夫斯,丹尼尔·雷德克里夫,艾玛·沃森,鲁伯特·格林特,"['剧情', '悬疑', '奇幻', '冒险']",130分钟,2011,美国 / 英国, 英语,8.7
324,恐怖直播 더 테러 라이브,金秉祐,金秉祐,河正宇,李璟荣,全慧珍,"['剧情', '悬疑', '犯罪']",97分钟,2013,韩国, 韩语,8.7
325,杀人回忆 살인의 추억,奉俊昊,奉俊昊,宋康昊,金相庆,金雷河,"['剧情', '悬疑', '惊悚', '犯罪']",130分钟,2003,韩国, 韩语,8.7
326,电锯惊魂 Saw,温子仁,温子仁,雷·沃纳尔,加利·艾尔维斯,丹尼·格洛弗,"['悬疑', '惊悚', '恐怖']",103分钟,2004,美国, 英语,8.7
327,心迷宫,忻钰坤,忻钰坤,霍卫民,王笑天,罗芸,"['剧情', '悬疑', '犯罪']",110分钟(中国大陆),2014,中国大陆, 汉语普通话,8.7
328,谍影重重3 The Bourne Ultimatum,保罗·格林格拉斯,托尼·吉尔罗伊,马特·达蒙,朱丽娅·斯蒂尔斯,大卫·斯特雷泽恩,"['动作', '悬疑', '惊悚']",115分钟,2007,美国 / 德国, 英语 / 法语 / 阿拉伯语 / 俄语 / 西班牙语,8.7
329,罗生门 羅生門,黑泽明,黑泽明,三船敏郎,千秋实,京町子,"['剧情', '悬疑', '犯罪']",88分钟,1950,日本, 日语,8.7
330,绿里奇迹 The Green Mile,弗兰克·德拉邦特,弗兰克·德拉邦特,汤姆·汉克斯,大卫·摩斯,迈克·克拉克·邓肯,"['剧情', '悬疑', '犯罪', '奇幻']",189 分钟,1999,美国, 英语 / 法语,8.7
331,洛城机密 L.A. Confidential,柯蒂斯·汉森,詹姆斯·艾罗瑞,凯文·史派西,罗素·克劳,盖·皮尔斯,"['剧情', '悬疑', '惊悚', '犯罪']",138分钟,1997,美国, 英语,8.7
332,蓝白红三部曲之红 Trois couleurs: Rouge,克日什托夫·基耶斯洛夫斯基,克日什托夫·基耶斯洛夫斯基,伊莲娜·雅各布,让-路易·特兰蒂尼昂,弗雷德里奎·费德,"['剧情', '爱情', '悬疑']",99分钟,1994,法国 / 波兰 / 瑞士, 法语,8.7
333,斯隆女士 Miss Sloane,约翰·马登,乔纳森·佩雷拉,杰西卡·查斯坦,古古·姆巴塔-劳,约翰·利思戈,"['剧情', '悬疑']",132分钟,2016,美国 / 法国, 英语,8.7
334,电话谋杀案 Dial M for Murder,阿尔弗雷德·希区柯克,弗雷德里克·诺特,雷·米兰德,格蕾丝·凯利,罗伯特·卡明斯,"['悬疑', '惊悚', '犯罪']",105分钟,1954,美国, 英语,8.7
335,潜行者 Сталкер,安德烈·塔可夫斯基,安德烈·塔可夫斯基,亚历山大·凯伊达诺夫斯基,阿丽萨·弗雷因德利赫,安纳托利·索洛尼岑,"['剧情', '科幻', '悬疑']",163 分钟,1979,苏联, 俄语,8.7
336,古畑任三郎 VS SMAP,铃木雅之,三谷幸喜,田村正和,西村雅彦,户田惠子,"['剧情', '悬疑', '犯罪']",135分钟,1999,日本, 日语,8.7
337,黑巷少女 The Little Girl Who Lives Down the Lane,尼古拉斯·加斯纳,Laird Koenig,朱迪·福斯特,马丁·辛,亚历克西斯·史密斯,"['剧情', '悬疑', '惊悚', '恐怖']",100 分钟,1976,加拿大 / 法国 / 美国, 英语,8.1
338,侠僧探案传奇之大夜叉,海涛,郭子圣,韩朔,刘冠成,李美慧,"['动作', '悬疑', '武侠', '古装']",90分钟,2015,中国大陆, 汉语普通话,8.1
339,乌鸦 Le corbeau,亨利-乔治·克鲁佐,路易·沙旺斯,皮埃尔·弗雷奈,吉内特·勒克莱尔,米舍利娜·弗朗塞,"['剧情', '悬疑', '惊悚', '犯罪']",92 分钟,1943,法国, 法语,8.1
340,不夜城 The Naked City,朱尔斯·达辛,艾伯特·马尔茨,弗兰克·康罗伊,特·德·科若,豪斯·詹姆森,"['剧情', '悬疑', '惊悚', '犯罪', '黑色电影']",96 分钟,1948,美国, 英语,8.1
341,古宅迷踪 Poirot: Dead Man's Folly,汤姆·沃恩,阿加莎·克里斯蒂,大卫·苏切,佐伊·沃纳梅克,西恩·帕特维,"['剧情', '悬疑', '犯罪']",89分钟,2013,英国, 英语,8.1
342,旧罪的阴影 Poirot: Elephants Can Remember,约翰·史翠兰,阿加莎·克里斯蒂,大卫·苏切,佐伊·沃纳梅克,凡妮莎·柯比,"['悬疑', '犯罪']",89分钟,2013,英国, 英语,8.1
343,小熊维尼之长鼻怪大冒险 Pooh's Heffalump Movie,Frank Nissen,Jim Cummings (Voice),Jim Cummings (Voice),Nikita Hopkins (voice),Kyle Stanger (voice),"['动画', '悬疑', '家庭', '奇幻']",USA: 68 分钟,2005,美国, 英语,8.1
344,毫无线索 Without a Clue,梭姆·艾伯哈特,Larry Strawther,迈克尔·凯恩,本·金斯利,类型:,"['喜剧', '悬疑', '犯罪']",107 分钟,1988,英国, 英语,8.1
345,波洛圣诞探案记 Poirot：Hercule Poirot's Christmas,爱德华·本内特,克里夫·埃克斯顿,大卫·苏切,菲利普·杰克森,弗农·多布切夫,"['悬疑', '犯罪']",102分钟,1995,英国, 英语,8.1
346,珍妮的画像 Portrait of Jennie,威廉·迪亚特尔,本·赫克特,珍妮弗·琼斯,约瑟夫·科顿,埃塞尔·巴里摩尔,"['剧情', '爱情', '悬疑', '奇幻']",86 分钟,1948,美国, 英语,8.1
347,鬼畜,野村芳太郎,井手雅人,绪形拳,岩下志麻,小川真由美,"['剧情', '悬疑']",110 分钟,1978,日本, 日语,8.1
348,零时 Marple: Towards Zero,大卫·格林德利,阿加莎·克里斯蒂,杰拉尔丁·麦克伊万,格雷·怀斯,佐伊·塔珀,"['悬疑', '犯罪']",93分钟,2007,英国, 英语,8.1
349,妻之告白 妻は告白する,增村保造,井手雅人,若尾文子,川口浩,小泽荣太郎,"['剧情', '悬疑']",91分钟,1961,日本, 日语,8.1
350,烈日灼心,曹保平,曹保平,邓超,段奕宏,郭涛,"['剧情', '悬疑', '犯罪']",139分钟,2015,中国大陆, 汉语普通话,8.0
351,云图 Cloud Atlas,汤姆·提克威,汤姆·提克威,汤姆·汉克斯,哈莉·贝瑞,吉姆·布劳德本特,"['剧情', '科幻', '悬疑']",134分钟(中国大陆),2012,德国 / 美国 / 香港 / 中国大陆 / 新加坡, 英语 / 西班牙语,8.0
352,龙纹身的女孩 The Girl with the Dragon Tattoo,大卫·芬奇,斯蒂文·泽里安,丹尼尔·克雷格,鲁妮·玛拉,克里斯托弗·普卢默,"['剧情', '悬疑', '惊悚', '犯罪']",158分钟,2011,美国 / 瑞典 / 挪威, 英语,8.0
353,囚徒 Prisoners,丹尼斯·维伦纽瓦,亚伦·格兹考斯基,休·杰克曼,杰克·吉伦哈尔,维奥拉·戴维斯,"['剧情', '悬疑', '犯罪']",153分钟,2013,美国, 英语,8.0
354,未知死亡 Ghajini,A.R.目虏古多斯,A·R·拉曼,阿米尔·汗,缇努·阿南德,阿辛,"['剧情', '动作', '爱情', '悬疑', '惊悚']",183分钟,2008,印度, 北印度语,8.0
355,赌场 House of Games,大卫·马梅,大卫·马梅,林赛·克洛斯,乔·曼特纳,迈克·努斯鲍姆,"['悬疑', '惊悚', '犯罪']",102 分钟,1987,美国, 英语,7.7
356,白衣女人 The Woman in White,蒂姆·费威尔,威尔基·柯林斯,塔拉·菲茨杰拉德,贾斯蒂恩·瓦戴尔,安德鲁·林肯,"['悬疑', '惊悚']",125分钟,1997,英国, 英语,7.7
357,西班牙箱子之谜 Poirot：The Mystery of the Spanish Chest,安德鲁·格里弗,安东尼·赫洛维兹,大卫·苏切,休·弗拉瑟,菲利普·杰克森,"['剧情', '悬疑', '犯罪']",52分钟,1991,英国, 英语,7.7
358,第四个男人 De vierde man,保罗·范霍文,杰拉德·索特曼,杰罗恩·克拉比,芮妮·索滕代克,汤姆·霍夫曼,"['剧情', '悬疑', '惊悚']",102分钟,1983,荷兰, 荷兰语,7.7
359,亨特小屋的秘密 Poirot: The Mystery of Hunter's Lodge,Renny Rye,T·R·鲍温,大卫·苏切,菲利普·杰克森,休·弗拉瑟,"['悬疑', '犯罪']",50分钟,1991,英国, 英语,7.7
360,无影无踪 Poirot: The Disappearance of Mr. Davenheim,安德鲁·格里弗,大卫·伦维克,大卫·苏切,休·弗拉瑟,菲利普·杰克森,"['悬疑', '犯罪']",50分钟,1990,英国, 英语,7.7
361,加勒比海之谜 Marple: A Caribbean Mystery,查理·帕尔默,阿加莎·克里斯蒂,朱莉亚·麦肯齐,玛安娜·本灵,查丽蒂·维克菲尔德,"['悬疑', '惊悚', '犯罪']",89分钟,2013,英国, 英语,7.7
362,惊天魔盗团 Now You See Me,路易斯·莱特里尔,鲍兹·亚金,杰西·艾森伯格,艾拉·菲舍尔,伍迪·哈里森,"['剧情', '悬疑', '犯罪']",115分钟,2013,美国 / 法国, 英语 / 法语,7.6
363,大侦探福尔摩斯 Sherlock Holmes,盖·里奇,迈克尔·罗伯特·约翰逊,小罗伯特·唐尼,裘德·洛,瑞秋·麦克亚当斯,"['动作', '悬疑', '惊悚', '犯罪', '冒险']",128分钟,2009,美国 / 德国, 英语 / 法语,7.6
364,逃出绝命镇 Get Out,乔丹·皮尔,乔丹·皮尔,丹尼尔·卡卢亚,艾莉森·威廉姆斯,凯瑟琳·基纳,"['悬疑', '惊悚', '恐怖']",104分钟,2017,美国, 英语,7.6
365,寂静岭 Silent Hill,克里斯多夫·甘斯,罗杰·阿夫瑞,拉达·米切尔,肖恩·宾,劳瑞·侯登,"['悬疑', '恐怖']",125 分钟,2006,加拿大 / 法国 / 日本 / 美国, 英语,7.6
366,大侦探福尔摩斯2：诡影游戏 Sherlock Holmes: A Game of Shadows,盖·里奇,阿瑟·柯南·道尔,小罗伯特·唐尼,裘德·洛,瑞秋·麦克亚当斯,"['动作', '悬疑', '惊悚', '犯罪', '冒险']",129分钟,2011,美国, 英语,7.6
367,机械姬 Ex Machina,亚历克斯·嘉兰,亚历克斯·嘉兰,艾丽西亚·维坎德,多姆纳尔·格里森,奥斯卡·伊萨克,"['科幻', '悬疑', '惊悚']",108分钟,2014,英国, 英语,7.6
368,风中有朵雨做的云,娄烨,梅峰,井柏然,宋佳,马思纯,"['剧情', '悬疑', '犯罪']",124分钟(中国大陆),2018,中国大陆, 汉语普通话 / 粤语,7.6
369,国家宝藏 National Treasure,乔·德特杜巴,吉姆·科夫,尼古拉斯·凯奇,黛安·克鲁格,贾斯汀·巴萨,"['动作', '悬疑', '惊悚', '冒险']",131 分钟,2004,美国, 英语 / 西班牙语,7.6
370,丁丁历险记 The Adventures of Tintin: The Secret of the Unicorn,史蒂文·斯皮尔伯格,史蒂文·莫法特,杰米·贝尔,安迪·瑟金斯,丹尼尔·克雷格,"['动作', '动画', '悬疑', '冒险']",107分钟,2011,美国 / 新西兰, 英语,7.6
371,断头谷 Sleepy Hollow,蒂姆·波顿,安德鲁·凯文·沃克,约翰尼·德普,克里斯蒂娜·里奇,米兰达·理查森,"['悬疑', '恐怖', '奇幻']",105 分钟,1999,美国 / 德国, 英语 / 拉丁语,7.6
372,机械师 The Machinist,布拉德·安德森,斯科特·考萨,克里斯蒂安·贝尔,詹妮弗·杰森·李,艾塔娜·桑切斯-希洪,"['剧情', '悬疑', '惊悚']",101分钟,2004,西班牙 / 美国, 英语,7.6
373,搜索,陈凯歌,陈凯歌,高圆圆,姚晨,赵又廷,"['剧情', '悬疑']",117分钟,2012,中国大陆, 汉语普通话,7.3
374,白日焰火,刁亦男,刁亦男,廖凡,桂纶镁,王学兵,"['剧情', '悬疑', '犯罪']",106分钟(中国大陆),2014,中国大陆, 汉语普通话,7.3
375,达·芬奇密码 The Da Vinci Code,朗·霍华德,阿齐瓦·高斯曼,汤姆·汉克斯,奥黛丽·塔图,伊恩·麦克莱恩,"['悬疑', '惊悚']",149 分钟,2006,美国 / 马耳他 / 法国 / 英国, 英语 / 法语 / 拉丁语 / 西班牙语,7.3
376,扫毒 掃毒,陈木胜,陈木胜,刘青云,张家辉,古天乐,"['剧情', '动作', '悬疑', '犯罪']",134分钟,2013,中国大陆 / 香港, 汉语普通话 / 粤语 / 泰语 / 英语,7.3
377,十二宫 Zodiac,大卫·芬奇,詹姆斯·范德比尔特,杰克·吉伦哈尔,马克·鲁弗洛,安东尼·爱德华兹,"['剧情', '悬疑', '惊悚', '历史', '犯罪']",157 分钟,2007,美国, 英语,7.3
378,密室逃生 Escape Room,亚当·罗比特尔,布拉吉·F·舒特,泰勒·拉塞尔,洛根·米勒,黛博拉·安沃尔,"['悬疑', '惊悚']",99分钟,2019,美国, 英语,7.3
379,天使与魔鬼 Angels & Demons,朗·霍华德,大卫·凯普,汤姆·汉克斯,伊万·麦克格雷格,阿耶莱特·祖里尔,"['悬疑', '惊悚']",138分钟,2009,美国 / 意大利, 英语 / 意大利语 / 拉丁语 / 法语 / 瑞士德语 / 德语 / 西班牙语,7.3
380,分裂 Split,M·奈特·沙马兰,M·奈特·沙马兰,詹姆斯·麦卡沃伊,安雅·泰勒-乔伊,贝蒂·巴克利,"['悬疑', '惊悚', '犯罪']",117分钟,2016,美国, 英语,7.3
381,寄宿学校 Boarding School,鲍兹·亚金,鲍兹·亚金,卢克·普拉尔,斯特林·杰里斯,威尔·帕顿,"['悬疑', '恐怖']",111分钟,2018,美国, 英语,7.3
382,破绽 Fracture,格里高利·霍布里特,丹尼尔·佩尼,安东尼·霍普金斯,瑞恩·高斯林,大卫·斯特雷泽恩,"['剧情', '悬疑', '惊悚', '犯罪']",113 分钟,2007,美国 / 德国, 英语,7.3
383,粉红豹 The Pink Panther,肖恩·利维,莱恩·布卢姆,史蒂夫·马丁,凯文·克莱恩,让·雷诺,"['喜剧', '悬疑', '犯罪', '冒险']",93 分钟,2006,美国 / 捷克, 英语,7.3
384,神探飞机头 Ace Ventura: Pet Detective,汤姆·沙迪亚克,Jack Bernstein,金·凯瑞,柯特妮·考克斯,肖恩·杨,"['喜剧', '动作', '悬疑', '惊悚']",86 分钟,1994,美国, 英语,7.3
385,豺狼计划 Cry Wolf,杰夫·瓦德洛,杰夫·瓦德洛,朱利安·莫里斯,林蒂·布丝,贾德·帕达里克,"['悬疑', '惊悚', '犯罪']",90 分钟,2005,美国, 英语,7.3
