,a,c,e,g,i,k,l,m,n,o,p,q
76,亨德逊夫人敬献 Mrs Henderson Presents,斯蒂芬·弗雷斯,Martin Sherman,朱迪·丹奇,鲍勃·霍斯金斯,凯利·蕾莉,"['剧情', '喜剧', '音乐', '战争']",103 分钟,2005,英国, 英语,7.7
77,长靴 Kinky Boots,朱里安·杰拉德,Geoff Deane,乔尔·埃哲顿,切瓦特·埃加福特,琳达·巴塞特,"['剧情', '喜剧', '音乐']",107 分钟,2005,美国 / 英国, 英语,7.7
78,王者之舞 Le roi danse,热拉尔·科尔比奥,Ève de Castro,伯努瓦·马吉梅尔,鲍里斯·泰拉尔,切基·卡尤,"['剧情', '音乐', '历史']",115 分钟,2000,法国 / 德国 / 比利时, 法语,7.7
79,红色娘子军,潘文展,刘庆棠,刘庆棠,薛菁华,宋琛,"['音乐', '歌舞']",102分钟,1971,中国大陆, 汉语普通话,7.7
80,摇滚学校 Rock 'n' Roll High School,艾伦·亚克许,艾伦·亚克许,The Ramones,Joey Ramone,类型:,"['喜剧', '音乐']",93 分钟,1979,美国, 英语,7.7
81,"青春岁月 Tro, håb og kærlighed",比利·奥古斯特,比利·奥古斯特,亚当·滕斯贝里,拉尔斯·西蒙森,卡米拉·索贝里,"['剧情', '喜剧', '音乐']",108 分钟(瑞典),1984,丹麦, 丹麦语,7.7
82,万籁俱寂 سکوت‎,莫森·玛克玛尔巴夫,莫森·玛克玛尔巴夫,Tahmineh Normatova,Nadereh Abdelahyeva,Goibibi Ziadolahyeva,"['剧情', '音乐']",76 分钟,1998,伊朗 / 塔吉克斯坦 / 法国, 波斯语 / 塔吉克语 / 俄语,7.7
83,华丽的咏叹 Aria,罗伯特·奥特曼,罗伯特·奥特曼,泰莉莎·拉塞尔,巴克·亨利,比佛莉·德安姬罗,"['剧情', '喜剧', '音乐']",90分钟,1987,英国, 意大利语 / 法语 / 德语 / 英语,7.7
84,逃家 Taking Off,米洛斯·福尔曼,让-克洛德·卡里埃,琳恩·卡林,巴克·亨利,乔治娅·恩格尔,"['剧情', '喜剧', '音乐']",93 分钟,1971,美国, 英语,7.7
85,杀死波诺 Killing Bono,尼克·哈姆,迪克·克莱蒙特,克里斯滕·里特,本·巴恩斯,皮特·波斯尔思韦特,"['音乐', '传记']",114分钟,2011,英国, 英语,7.5
86,心灵深处的音乐 Music Within,史蒂文·萨瓦里克,Bret McKinney,朗·里维斯顿,梅利莎·乔治,麦克·辛,"['剧情', '喜剧', '爱情', '音乐', '传记', '战争']",94 分钟,2007,美国, 英语,7.5
87,别来敲门 Don't Come Knocking,维姆·文德斯,山姆·夏普德,詹姆斯·罗德,杰弗里·文森特·帕里塞,玛简德拉·黛芬诺,"['剧情', '音乐']",122 分钟,2005,法国 / 德国 / 美国, 英语,7.5
88,与我同行 Going My Way,莱奥·麦卡雷,弗兰克·巴特勒,平·克劳斯贝,巴里·菲茨杰拉德,弗兰克·麦休,"['剧情', '喜剧', '音乐', '歌舞']",126 分钟,1944,美国, 英语,7.5
89,爵士歌手 The Jazz Singer,艾伦·克罗斯兰,艾尔弗雷德·A·科恩,阿尔•乔生,梅·麦卡沃伊,华纳·欧兰德,"['剧情', '爱情', '音乐']",88 分钟,1927,美国, 英语,7.5
90,内心的伤痕 La cicatrice intérieure,菲利普·加瑞尔,菲利普·加瑞尔,Nico,菲利普·加瑞尔,Christian Aaron Boulogne,"['剧情', '音乐', '奇幻']",60 分钟,1972,法国, 法语 / 德语 / 英语,7.5
91,莫妮卡·赛德隆 Monica Z,皮尔·弗莱,彼得·伯罗,埃达·马格纳松,斯瓦利尔·古德纳松,凯杰尔·博格奎斯特,"['剧情', '音乐', '传记']",111分钟,2013,瑞典, 瑞典语 / 英语,7.5
92,"1988年的妮可 Nico, 1988",苏珊娜·尼基亚雷利,苏珊娜·尼基亚雷利,崔娜·蒂虹,安娜玛丽亚·玛琳卡,卡瑞娜·费尔南德斯,"['剧情', '音乐', '传记']",93分钟,2017,意大利 / 比利时, 英语,7.5
93,海蒂传奇 Hilde,Kai Wessel,Maria von Heland,Heike Makatsch,Dan Stevens,Hanns Zischler,"['剧情', '音乐', '传记']",136分钟,2009,德国, 德语 / 英语 / 波兰语 / 俄语,7.5
94,快乐的大脚 Happy Feet,乔治·米勒,沃伦·科尔曼,伊莱贾·伍德,布莱特妮·墨菲,休·杰克曼,"['喜剧', '爱情', '动画', '音乐', '家庭', '冒险']",108 分钟,2006,澳大利亚 / 美国, 英语,7.4
95,鼠来宝 Alvin and the Chipmunks,蒂姆·希尔,约翰·维蒂,杰森·李,大卫·克罗斯,卡梅隆·理查德森,"['剧情', '喜剧', '音乐', '家庭', '奇幻']",92 分钟,2007,美国, 英语,7.4
96,完美音调 Pitch Perfect,杰森·摩尔,凯·加农,安娜·肯德里克,斯盖拉·阿斯丁,本·普拉特,"['喜剧', '爱情', '音乐']",112分钟,2012,美国, 英语,7.4
97,文科恋曲 Liberal Arts,乔什·拉德诺,乔什·拉德诺,乔什·拉德诺,伊丽莎白·奥尔森,理查德·詹金斯,"['剧情', '喜剧', '爱情', '音乐']",98分钟,2012,美国, 英语,7.4
98,泽西男孩 Jersey Boys,克林特·伊斯特伍德,马歇尔·布瑞克曼,文森特·皮亚扎,约翰·劳埃德·扬,史蒂夫·斯基里帕,"['剧情', '音乐', '歌舞', '传记']",134分钟,2014,美国, 英语,7.4
99,要钱不要命 Get Rich or Die Tryin',吉姆·谢里丹,Terence Winter,50分,阿德沃尔·阿吉纽依-艾格拜吉,乔伊·布赖恩特,"['剧情', '音乐', '传记', '犯罪']",117 分钟,2005,美国, 英语,7.4
100,温暖的告别 뜨거운 안녕,南泽秀,南泽秀,李弘基,白珍熙,马东锡,"['剧情', '音乐']",99分钟,2013,韩国, 韩语,7.4
101,性、毒品和摇滚乐 Sex & Drugs & Rock & Roll,马特·怀克洛斯,Paul Viragh,Olivia Williams,韦斯利·尼尔森,Andy Serkis,"['剧情', '音乐', '传记']",115分钟,2010,英国, 英语,7.4
102,挡不住的奇迹 That Thing You Do!,汤姆·汉克斯,汤姆·汉克斯,汤姆·艾弗瑞特·斯科特,丽芙·泰勒,乔纳森·斯卡奇,"['剧情', '喜剧', '音乐']",108分钟,1996,美国, 英语,7.4
103,与斯科特共进早餐 Breakfast with Scot,Laurie Lynd,Sean Reycraft,本·申克曼,梅根·佛洛斯,汤姆·卡瓦纳夫,"['剧情', '爱情', '音乐', '运动']",95分钟(美国),2007,加拿大, 英语,7.4
104,朋克地下城 CBGB,兰道·米勒,兰道·米勒,玛琳·阿克曼,瑞恩·赫斯特,阿什丽·格林尼,"['剧情', '音乐', '传记']",101分钟,2013,美国, 英语,7.3
105,幸福结局 Happy Endings,唐·罗斯,唐·罗斯 Don Roos,玛吉·吉伦哈尔,丽莎·库卓,汤姆·阿诺德,"['剧情', '喜剧', '惊悚', '音乐']",128 分钟,2005,美国, 英语,7.3
106,北郊1936年 Faubourg 36,Christophe Barratier,Christophe Barratier,热拉尔·朱尼奥,克洛维斯·科尔尼亚克,凯德·麦拉德,"['剧情', '爱情', '音乐']",120分钟(法国),2008,法国 / 德国 / 捷克, 法语,7.3
