拽妹黛薇儿要上大学了没 Daria: Is it College Yet?,,Karen Disher,,Glenn Eichler,,Geoffrey Arend ...  Charles 'Upchuck' Ruttheimer III (voice),,Tracy Grandstaff ...  Daria Morgendorffer (voice),,Rand Bridges ...  Professor Bill Woods (voice) (as H.R. Bridges),"['剧情', '喜剧', '动画']",90分钟,2002,USA, english,9.4
狮子王2：辛巴的荣耀 The Lion King II: Simba's Pride,,达雷尔·鲁尼,,弗利普·科布勒,,马修·布罗德里克,,莫伊拉·凯利,,内芙·坎贝尔,"['爱情', '动画', '歌舞', '家庭', '冒险']",81分钟,1998,美国 / 澳大利亚, 英语,7.7
怪物之子 バケモノの子,,细田守,,细田守,,役所广司,,宫崎葵,,染谷将太,"['动作', '动画', '奇幻', '冒险']",119分钟,2015,日本, 日语,7.7
风中奇缘 Pocahontas,,迈克·加布里尔,,Carl Binder,,梅尔·吉布森,,艾琳·贝达,,朱迪·库恩,"['剧情', '爱情', '动画', '歌舞', '家庭', '历史']",81 分钟,1995,美国, 英语,7.7
盒子怪 The Boxtrolls,,格雷厄姆·安纳布尔,,伊连娜·布里纳尔,,本·金斯利,,艾丽·范宁,,西蒙·佩吉,"['喜剧', '动画', '冒险']",96分钟,2014,美国, 英语,7.7
记忆中的玛妮 思い出のマーニー,,米林宏昌,,丹羽圭子,,高月彩良,,有村架纯,,松岛菜菜子,"['剧情', '动画', '奇幻']",103分钟,2014,日本, 日语,7.7
生命之书 The Book of Life,,豪尔赫·R·古铁雷斯,,豪尔赫·R·古铁雷斯,,迭戈·卢纳,,佐伊·索尔达娜,,查宁·塔图姆,"['喜剧', '动画', '奇幻', '冒险']",95分钟,2014,美国, 英语 / 西班牙语,7.7
蒸汽男孩 スチームボーイ,,大友克洋,,大友克洋,,铃木杏,,小西真奈美,,中村贺津雄,"['科幻', '动画', '冒险']",126 分钟,2004,日本, 日语,7.7
美国战队：世界警察 Team America: World Police,,崔·帕克,,崔·帕克,,崔·帕克,,马特·斯通,,克里斯汀·米勒,"['喜剧', '动作', '动画', '冒险']",98 分钟,2004,美国 / 德国, 英语 / 法语 / 阿拉伯语 / 韩语 / 克林贡语,7.7
最后的吸血鬼 BLOOD THE LAST VAMPIRE,,北久保弘之,,神山健治,,工藤夕贵,,中村佐恵美,,类型:,"['动作', '动画', '恐怖']",48 分钟,2000,日本, 日语 / 英语,7.7
星球大战：克隆战争 Star Wars: The Clone Wars,,Dave Filoni,,Henry Gilroy,,马特·兰特尔,,艾什莉·埃克斯坦,,詹姆斯·阿诺德·泰勒,"['动作', '科幻', '动画', '冒险']",98 分钟,2008,美国, 英语,7.7
精灵王座,,宋岳峰,,卓然,,王梓,,陶典,,季冠霖,['动画'],104分钟,2016,中国大陆, 汉语普通话 / 英语,7.7
乐高DC超级英雄：闪电侠 Lego DC Comics Super Heroes: The Flash,,伊桑·斯波尔丁,,詹姆斯·克里格,,詹姆斯·阿诺德·泰勒,,德怀特·舒尔茨,,特罗伊·贝克,"['动作', '科幻', '动画']",78分钟,2018,美国, 英语,7.5
阿斯特里克斯历险记：诸神之宫殿 Astérix: Le domaine des dieux,,Alexandre Astier,,Louis Clichy,,阿兰·夏巴,,罗兰·拉斐特,,热拉尔丁·纳卡什,"['喜剧', '动画', '冒险']",86分钟,2014,法国 / 比利时, 法语,7.5
乐高DC超级英雄：正义联盟之宇宙冲击 Lego DC Comics Super Heroes: Justice League - Cosmic Clash,,Rick Morales,,James Krieg,,特罗伊·贝克,,诺兰·诺斯,,Grey Griffin,"['动作', '动画']",78分钟,2016,美国, 英语,7.5
芭比之时尚童话 Barbie: A Fashion Fairytale,,William Lau,,Elise Allen,,Diana Kaarina,,艾德里安·佩特里,,Shannon Chan-Kent,"['动画', '家庭']",83分钟,2010,美国, 英语,7.5
侯爵 Marquis,,Henri Xhonneux,,萨德侯爵,,François Marthouret,,Valérie Kling,,Michel Robin,"['喜剧', '动画']",USA: 83 分钟,1989,比利时 / 法国, 法语,7.5
芭比之美人鱼历险记 Barbie in a Mermaid Tale,,Adam L. Wood,,Kelly Sheridan,,Kelly Sheridan,,Kathleen Barr,,Nakia Burrise,"['动画', '家庭']",74分钟,2010,美国, 英语,7.5
宇宙奇趣录 Heavy Metal,,杰拉德·伯特顿,,Daniel Goldberg,,罗德格尔·邦帕斯,,约翰·坎迪,,杰姬·布罗斯,"['动画', '奇幻', '冒险']",86 分钟,1981,加拿大, 英语,7.5
克娄巴特拉计划 クレオパトラ,,手冢治虫,,里吉しげみ,,中山千夏,,ハナ肇,,吉村実子,"['剧情', '喜剧', '爱情', '科幻', '动画', '历史']",112 分钟,1970,日本, 日语,7.5
黑眼圈 Nina,,埃托尔·达利亚,,Marçal Aquino,,Guta Stresser,,米尔黑·考塔兹,,Anderson Faganello,"['剧情', '动画', '惊悚']",85 分钟,2004,巴西, 葡萄牙语,7.5
小黄人大眼萌 Minions,,凯尔·巴尔达,,布莱恩·林奇,,桑德拉·布洛克,,乔恩·哈姆,,迈克尔·基顿,"['喜剧', '动画']",91分钟,2015,美国, 英语 / 西班牙语,7.4
天降美食 Cloudy with a Chance of Meatballs,,菲尔·罗德,,菲尔·罗德,,比尔·哈德尔,,安娜·法瑞丝,,詹姆斯·肯恩,"['喜剧', '动画', '奇幻']",90分钟,2009,美国, 英语,7.4
麦兜响当当 麥兜響當當,,谢立文,,谢立文,,黄渤,,黄秋生,,吴君如,"['喜剧', '动画']",81分钟(重映版),2009,中国大陆 / 香港, 汉语普通话 / 粤语,7.4
海底总动员2：多莉去哪儿 Finding Dory,,安德鲁·斯坦顿,,安德鲁·斯坦顿,,艾伦·德杰尼勒斯,,艾伯特·布鲁克斯,,艾德·奥尼尔,"['喜剧', '动画', '家庭', '冒险']",97分钟,2016,美国, 英语,7.4
魔弦传说 Kubo and the Two Strings,,特拉维斯·奈特,,马克·海姆斯,,查理兹·塞隆,,马修·麦康纳,,拉尔夫·费因斯,"['动画', '奇幻', '冒险']",102分钟,2016,美国, 英语,7.4
快乐的大脚 Happy Feet,,乔治·米勒,,沃伦·科尔曼,,伊莱贾·伍德,,布莱特妮·墨菲,,休·杰克曼,"['喜剧', '爱情', '动画', '音乐', '家庭', '冒险']",108 分钟,2006,澳大利亚 / 美国, 英语,7.4
天才眼镜狗 Mr. Peabody & Sherman,,罗伯·明可夫,,杰伊·沃德,,泰·布利尔,,麦克斯·查尔斯,,罗莉·弗雷泽,"['喜剧', '科幻', '动画', '冒险']",92分钟,2014,美国, 英语 / 西班牙语,7.4
宝贝老板 The Boss Baby,,汤姆·麦格拉思,,迈克尔·麦库勒斯,,亚历克·鲍德温,,迈尔斯·克里斯托弗·巴克什,,吉米·坎摩尔,"['喜剧', '动画']",97分钟,2017,美国, 英语,7.4
猫头鹰王国：守卫者传奇 Legend of the Guardians: The Owls of Ga'Hoole,,扎克·施奈德,,约翰·奥罗夫,,吉姆·斯特吉斯,,雨果·维文,,艾米莉·德瑞文,"['动作', '动画', '奇幻', '冒险']",97分钟,2010,美国 / 澳大利亚, 英语,7.4
比得兔 Peter Rabbit,,威尔·古勒,,威尔·古勒,,詹姆斯·柯登,,多姆纳尔·格里森,,萝丝·拜恩,"['喜剧', '动画', '冒险']",95分钟,2018,美国 / 英国 / 澳大利亚, 英语,7.1
魔法奇缘 Enchanted,,凯文·利玛,,Bill Kelly,,艾米·亚当斯,,帕特里克·德姆西,,詹姆斯·麦斯登,"['喜剧', '爱情', '动画', '歌舞']",107 分钟,2007,美国, 英语,7.1
自杀专卖店 Le magasin des suicides,,帕特里斯·勒孔特,,让·特磊 Jean Teulé,,贝纳德·阿兰尔,,Isabelle Spade,,Isabelle Giami,"['喜剧', '动画', '歌舞']",79分钟,2012,法国 / 加拿大 / 比利时, 法语,7.1
鲨鱼黑帮 Shark Tale,,罗伯·莱特曼,,迈克尔·J·威尔森,,威尔·史密斯,,罗伯特·德尼罗,,蕾妮·齐薇格,"['喜剧', '动画', '冒险']",90 分钟,2004,美国, 英语,7.1
生化危机：恶化 バイオハザード ディジェネレーション,,神谷诚,,菅正太郎,,保罗·默西埃,,Alyson Court,,劳拉·贝莉,"['动作', '科幻', '动画', '惊悚']",97分钟,2008,日本, 英语 / 日语,7.1
丛林大反攻 Open Season,,罗杰·阿勒斯,,Steve Moore,,马丁·劳伦斯,,阿什顿·库彻,,乔恩·费儒,"['喜剧', '动画', '家庭', '冒险']",83分钟,2006,美国, 英语,7.1
野蛮人罗纳尔 Ronal Barbaren,,Kresten Vestbjerg Andersen,,索布约恩·克里斯托弗森,,布里吉特·尼尔森,,拉斯·米克尔森,,史文-欧尔·托尔森,"['动作', '动画', '冒险']",89分钟,2011,丹麦, 丹麦语,7.1
妈妈咪鸭,,赵锐,,丁丁,,赵路,,武皓栋,,殷筱瑜,"['喜剧', '动画', '家庭', '冒险']",90分钟,2018,中国大陆 / 美国, 汉语普通话 / 英语,7.1
2077日本锁国 ベクシル 2077日本鎖国,,曾利文彦,,半田遥,,黑木美沙,,松雪泰子,,谷原章介,"['动作', '科幻', '动画']",109分钟,2007,日本, 日语,7.1
鼠国流浪记 Flushed Away,,山姆·菲尔,,迪克·克莱蒙特,,休·杰克曼,,凯特·温丝莱特,,伊恩·麦克莱恩,"['喜剧', '动画', '家庭', '冒险']",85 分钟,2006,英国 / 美国, 英语,7.1
阿唐奇遇,,王微,,王微,,石磊,,原泽宇,,季冠霖,"['动画', '奇幻', '冒险']",98分钟,2017,中国大陆, 汉语普通话,7.1
小美人鱼2：重返大海 The Little Mermaid II: Return to the Sea,,Jim Kammerud,,伊丽莎白·安德森,,裘蒂·班森 Jodi Benson/爱丽儿,,罗伯·鲍森 Rob Paulsen/埃里克王子,,塔拉·斯特朗 Tara Strong/美莉缇,"['动画', '歌舞', '家庭', '奇幻']",75 分钟,2000,美国 / 加拿大 / 澳大利亚, 英语,7.1
地下理想国 Metropia,,塔里克·萨利赫,,Fredrik Edin,,Vincent Gallo,,朱丽叶特·刘易斯,,乌多·基尔,"['科幻', '动画', '惊悚']",86分钟,2009,瑞典 / 丹麦 / 挪威 / 芬兰, 英语,7.1
龙战 Chasseurs de dragons,,纪约姆·伊弗奈,,弗雷德里克·勒努瓦,,文森特·林顿,,帕特里克·坦西,,菲利普·纳翁,"['动画', '奇幻', '冒险']",80分钟,2008,法国 / 德国 / 卢森堡, 法语 / 法语,7.1
丑小鸭和小老鼠 The Ugly Duckling and Me!,,Karsten Kiilerich,,Mark Hodkinson,,Rick Kavanian,,Michael Liebman,,Morgan C. Jones,"['喜剧', '动画']",Canada: 90 分钟(Toronto International Film Festival),2006,法国 / 德国 / 爱尔兰 / 英国 / 丹麦, 丹麦语 / 英语 / 法语 / 德语,7.1
黑猫鲁道夫 ルドルフとイッパイアッテナ,,汤山邦彦,,齐藤洋,,井上真央,,铃木亮平,,八岛智人,"['喜剧', '动画', '冒险']",89分钟,2016,日本, 日语,7.1
"鸡妈鸭仔 마당을 나온 암탉, 잎싹",,吴成允,,金恩正,,崔岷植,,俞承豪,,文素丽,['动画'],94分钟,2011,韩国, 韩语,7.1
法式蜗牛料理 Escargore,,Oliver Hilbert,,Oliver Hilbert,,Jodie Rimmer,,Campbell Cooley,,Greg Johnson,"['喜剧', '动画', '恐怖']",5分钟,2015,新西兰 New Zealand, 英语,7.1
绿灯侠：首次飞行 Green Lantern: First Flight,,劳伦·蒙哥马利,,艾伦·伯内特,,克里斯托弗·米洛尼,,维克多·加博,,翠西亚·希弗,"['动作', '科幻', '动画', '冒险']",USA: 77 分钟,2009,美国, 英语 / 西班牙语,6.7
超人与蝙蝠侠：启示录 Superman/Batman: Apocalypse,,Lauren Montgomery,,Tab Murphy,,Tim Daly,,Kevin Conroy,,Summer Glau,['动画'],USA: 78 分钟,2010,美国, 英语 / 法语 / 世界语,6.7
蝙蝠侠大战罗宾 Batman vs. Robin,,杰伊·欧力瓦,,J·M·德马泰,,杰森·奥玛拉,,斯图尔特·艾伦,,大卫·麦考姆,"['动作', '动画', '冒险']",80分钟,2015,美国, 英语,6.7
暹罗决：九神战甲 The Legend of Muay Thai: 9 Satra,,彭萨·康斯里,,纳·约斯瓦塔纳蒙,,卡诺查·曼雅德昂,,萨维提·苏提查农,,Sirichai Charoenkijtanakul,"['动作', '动画', '奇幻']",104分钟,2018,泰国, 泰语 / 英语 / 汉语普通话,6.7
汤姆与杰瑞遇见福尔摩斯 Tom And Jerry Meet Sherlock Holmes,,史派克·布兰特,,Earl Kress,,马尔科姆·麦克道威尔,,麦克尔·约克,,约翰·瑞斯-戴维斯,['动画'],50分钟,2010,美国, 英语,6.7
少年泰坦：犹大契约 Teen Titans: The Judas Contract,,刘山姆,,厄尼·阿特巴克,,斯图尔特·艾伦,,杰克·T·奥斯汀,,泰莎·法米加,"['动作', '动画']",84分钟,2017,美国, 英语,6.7
晴空战士 원더풀 데이즈,,Moon-saeng Kim,,Jun-Young Park,,Marc Worden,,Cathy Cavadini,,类型:,"['动作', '科幻', '动画', '奇幻']",87分钟,2003,韩国 / 美国, 韩语 / 英语,6.7
猫和老鼠：绿野仙踪 Tom and Jerry & The Wizard of Oz,,史派克·布兰特,,Gene Grillo,,Tom,,Jerry,,类型:,"['动画', '家庭']",60分钟,2011,美国, 英语,6.7
极地大冒险 Niko - Lentäjän poika,,Michael Hegner,,哈努·图奥迈宁,,Olli Jantunen,,汉努-佩卡·约克曼,,沃科·霍瓦塔,"['剧情', '动画', '家庭', '冒险']",80 分钟,2008,芬兰 / 丹麦 / 德国 / 爱尔兰, 英语 / 芬兰语,6.7
母牛总动员 Home on the Range,,John Sanford,,John Sanford,,G.W.拜利,,罗西妮·巴尔,,史蒂夫·布西密,"['动画', '音乐', '家庭', '西部']",76 分钟,2004,美国, 英语,6.7
棒球小英雄 Everyone's Hero,,克里斯托弗·里夫,,Robert Kurtz,,Ritchie Allen,,杰克·T·奥斯汀,,Cherise Boothe,"['喜剧', '动画', '家庭', '冒险', '运动']",88 分钟,2006,加拿大 / 美国, 英语,6.7
库尔特是残酷的 Kurt blir grusom,,Rasmus A. Sivertsen,,Karsten Fullu,,Atle Antonsen,,Kristin Skogheim,,阿卡塞尔·亨涅,"['喜剧', '动画', '家庭']",74 分钟,2008,挪威 / 丹麦, 挪威语,6.7
地狱高中生活 Middle School: The Worst Years of My Life,,史蒂夫·卡尔,,克里斯·鲍曼,,格里芬·格鲁克,,劳伦·格拉汉姆,,艾莉克莎·尼森森,"['喜剧', '动画', '奇幻']",92分钟,2016,美国 / 柬埔寨, 英语 / 高棉语,6.7
贝奥武夫 Beowulf,,罗伯特·泽米吉斯,,尼尔·盖曼,,雷·温斯顿,,克里斯平·格洛弗,,安吉丽娜·朱莉,"['动作', '动画', '奇幻', '冒险']",115 分钟,2007,美国, 英语 / 古英语,6.6
战鸽总动员 Valiant,,Gary Chapman,,Jordan Katz,,伊万·麦克格雷格,,蒂姆·克里,,吉姆·布劳德本特,"['喜剧', '动画', '家庭', '战争', '冒险']",76 分钟,2005,英国, 英语,6.6
熊出没之夺宝熊兵,,丁亮,,刘富源,,张秉君,,张伟,,谭笑,"['喜剧', '动画', '家庭', '冒险']",95分钟,2014,中国大陆, 汉语普通话,6.6
生化危机：复仇 バイオハザード：ヴェンデッタ,,辻本贵则,,深见真,,艾琳·卡希尔,,达林·德·保罗,,布莱恩·T·德莱尼,"['动作', '动画', '恐怖', '冒险']",97分钟,2017,日本, 英语 / 日语,6.6
昆塔：盒子总动员,,李炼,,李炼,,狄菲菲,,张云翼,,洪海天,"['喜剧', '动画', '冒险']",83分钟,2013,中国大陆, 汉语普通话 / 英语,6.2
抢劫坚果店2 The Nut Job 2: Nutty by Nature,,卡尔·布伦克尔,,鲍勃·巴伦,,威尔·阿奈特,,凯瑟琳·海格尔,,玛娅·鲁道夫,"['喜剧', '动画', '冒险']",91分钟,2017,加拿大 / 韩国 / 美国 / 中国大陆, 英语,6.2
乐高DC超级英雄：亚特兰蒂斯之怒 Lego DC Comics Super Heroes: Aquaman - Rage of Atlantis,,马特·皮特斯,,詹姆斯·克里格,,迪·布拉雷·贝克尔,,特罗伊·贝克,,格蕾·德丽斯勒,"['动画', '冒险']",77分钟,2018,美国, 英语,6.2
小猪妈仔 Unstable Fables: 3 Pigs & a Baby,,Howard E. Baker,,Jon Cryer,,Jon Cryer,,Brad Garrett,,Steve Zahn,"['动画', '家庭']",76分钟,2008,美国, 英语,6.2
狗狗的疯狂假期 Ozzy,,阿尔贝托·罗德里格,,胡安·拉蒙·鲁伊斯·索马维亚,,吉列尔莫·罗梅罗,,丹尼·罗维拉,,何塞·莫塔,"['喜剧', '动画', '冒险']",90分钟,2016,西班牙 / 加拿大, 西班牙语 / 英语,6.2
太空黑猩猩 Space Chimps,,Kirk De Micco,,Simon Goltsman,,安迪·萨姆伯格,,Cameron Bright,,切瑞·海恩斯,"['喜剧', '科幻', '动画', '家庭', '冒险']",81 分钟,2008,美国, 英语,6.2
少年雷神 Thor: Tales of Asgard,,刘山姆,,Greg Johnson,,里克·高莫兹,,Tara Strong,,Matthew Wolf,"['动作', '动画', '冒险']",77分钟,2011,美国, 英语,6.2
神秘世界历险记2,,王云飞,,王云飞,,刘校妤,,孟泉霖,,陆揆,"['动画', '家庭', '冒险']",80分钟,2014,中国大陆, 汉语普通话,6.2
昨日青空,,奚超,,苏尚卿,,苏尚卿,,王一博,,段艺璇,"['爱情', '动画']",82分钟,2018,中国大陆, 汉语普通话,6.1
正义联盟：亚特兰蒂斯的宝座 Justice League: Throne of Atlantis,,伊桑·斯波尔丁,,希思·科森,,克里斯托弗·戈勒姆,,马特·兰特尔,,杰瑞·奥康奈尔,"['动作', '动画', '冒险']",72分钟,2015,美国, 英语,6.1
神童 The Prodigies,,Antoine Charreyron,,Alexandre de La Patellière,,Moon Dailly,,Claire Thill,,Lauren Ashley Carter,"['科幻', '动画']",90分钟,2011,法国, 法语,6.1
冰雪大作战 Snowtime!,,让-弗朗索瓦·波略特,,诺曼·卡纳克-马库斯,,安吉拉·嘉鲁皮,,玛丽欧·沃尔夫,,露辛达·戴维斯,"['喜剧', '动画', '家庭']",80分钟,2015,加拿大, 英语 / 法语,6.1
虎皮萌企鹅 Les As de la Jungle,,大卫阿拉克斯,,大卫阿拉克斯,,菲利普·波佐,,劳伦·默度,,帕斯卡尔·卡萨诺瓦,['动画'],97分钟,2017,法国, 法语,6.1
昆塔：反转星球,,李炼,,李炼,,李正翔,,洪海天,,陶典,['动画'],85分钟,2017,中国大陆, 汉语普通话,6.1
神兵小将,,黄玉郎,,方锦历,,杨青倩,,谢楠,,常索妮,"['动画', '奇幻']",95分钟,2009,中国大陆, 汉语普通话,6.1
绿林大冒险,,徐克,,徐克,,张欣,,张安琪,,王肖兵,"['动画', '奇幻', '冒险']",91分钟,2012,中国大陆, 汉语普通话,6.1
火鸡总动员 Free Birds,,吉米·海沃德,,吉米·海沃德,,欧文·威尔逊,,伍迪·哈里森,,艾米·波勒,"['喜剧', '动画', '冒险']",91分钟,2013,美国, 英语,6.0
长江7号爱地球,,袁建滔,,李敏,,徐娇,,石班瑜,,董洁,['动画'],83分钟,2010,中国大陆 / 香港, 汉语普通话,6.0
猫和老鼠之巨人大冒险 Tom and Jerry's Giant Adventure,,史派克·布兰特,,保罗·迪尼,,托马斯·F·威尔森,,加里森·凯勒尔,,保罗·雷宾斯,['动画'],57分钟,2013,美国, 英语,6.0
桂宝之爆笑闯宇宙,,王云飞,,王云飞,,王云飞,,阿桂,,杨天翔,"['喜剧', '科幻', '动画']",95分钟,2015,中国大陆 / 香港, 汉语普通话,5.2
蜡笔总动员 The Hero of Color City,,弗兰克·格拉德斯通,,杰斯·凯德华,,克里斯蒂娜·里奇,,西恩·奥斯汀,,欧文·威尔逊,"['喜剧', '动画', '家庭']",78分钟,2014,美国 / 中国大陆 / 印度 / 韩国, 英语 / 法语,5.2
怪物岛 Monster Island,,里昂珀多·阿格拉,,比利·弗罗利克,,埃里克·拉森,,罗格·杰克逊,,菲奥娜·哈丁汉姆,"['喜剧', '动画', '冒险']",87分钟,2017,墨西哥, 英语,5.2
青蛙王国之冰冻大冒险,,常光希,,郑立国,,孙楠,,石班瑜,,姜瑰瑾,"['喜剧', '动画', '冒险']",83分钟,2015,中国大陆, 汉语普通话,5.2
玩偶奇兵,,申宇,,黄燕,,严丽祯,,李晔,,王衡,"['动画', '奇幻', '冒险']",88分钟,2017,中国大陆, 汉语普通话,5.2
金龟子,,丁实,,马华,,刘纯燕,,张磊,,杨晨,"['动画', '家庭', '冒险']",77分钟,2018,中国大陆, 汉语普通话,5.2
黑猫警长之翡翠之星,,于胜军,,李彧,,赵路,,吴天昊,,林子杰,"['喜剧', '动作', '科幻', '动画']",83分钟,2015,中国大陆, 汉语普通话,5.1
萤火奇兵,,邓伟锋,,邓伟锋,,山新,,姚雷,,郭盛,"['喜剧', '动画', '奇幻', '冒险']",85分钟,2017,中国大陆, 汉语普通话,5.1
无敌钢铁侠 The Invincible Iron Man,,Frank Paur,,格文多林·叶,,格文多林·叶,,Marc Worden,,Fred Tatasciore,"['动作', '科幻', '动画', '奇幻', '冒险']",83 分钟,2007,美国, 英语 / 英语,5.0
肩上蝶,,张之亮,,张之亮,,陈坤,,梁咏琪,,江一燕,"['剧情', '爱情', '动画', '奇幻']",122分钟,2011,中国大陆, 汉语普通话 / 粤语,4.9
洛克王国3：圣龙的守护,,龚宾四,,黄伟健,,杨莹,,阎萌萌,,皇贞季,"['动画', '奇幻', '冒险']",85分钟,2014,中国大陆, 汉语普通话,4.9
阿凡提之奇缘历险,,刘炜,,刘炜,,胡谦,,李晔,,蒋可,"['喜剧', '动画']",85分钟,2018,中国大陆, 汉语普通话,4.9
金箍棒传奇,,哈磊,,王冰,,韩雪,,吴天昊,,于立,"['喜剧', '动画', '冒险']",88分钟,2012,中国大陆, 汉语普通话,4.9
猪猪侠之英雄猪少年,,陆锦明,,王晓莉,,易烊千玺,,陈轶,,张子琨,"['喜剧', '动画', '奇幻']",91分钟,2017,中国大陆, 汉语普通话,4.9
终极大冒险,,孙立军,,牛博鸶,,谢娜,,路知行,,韩童生,"['喜剧', '动画', '冒险']",85分钟,2013,中国大陆, 汉语普通话,4.9
超能太阳鸭 Крякнутые каникулы,,维克多·拉基索夫,,鲍勃·安德伍德,,迈克尔·格罗斯,,杰西·科尔蒂,,马克·戴卡洛,"['剧情', '喜剧', '动画']",86分钟,2016,俄罗斯 / 美国 / 中国大陆, 俄语 / 英语 / 汉语普通话,4.9
佛兰德斯的狗 フランダースの犬,,黑田昌郎 Yoshio Kuroda,,丸尾美穗 Miho Maruo,,Brady Bluhm,,Debi Derryberry,,罗伯特·劳吉亚,"['剧情', '爱情', '动画']",93 分钟,1997,日本 / 美国, 日语,8.9
西岳奇童,,靳夕,,武向彤,,武向彤,,韩非,,丁建华,"['剧情', '动画', '奇幻']",54分钟,1984,中国大陆, 汉语普通话,8.9
反叛的鲁路修特别篇：暗黑的背叛 コードギアス 反逆のルルーシュ 特別編集版 Black Rebellion,,谷口悟朗,,大河内一楼,,福山润,,樱井孝宏,,野上尤加奈,['动画'],117分钟,2008,日本, 日语,8.9
古剑奇谭2：永夜初晗,,鼻涕妞,,鼻涕妞,,赵毅,,山新,,夏磊,"['爱情', '动画', '奇幻', '冒险']",121分钟,2014,中国大陆, 汉语普通话,8.9
幽灵公主 もののけ姫,,宫崎骏,,宫崎骏,,松田洋治,,石田百合子,,田中裕子,"['动画', '奇幻', '冒险']",134分钟,1997,日本, 日语,8.8
玩具总动员3 Toy Story 3,,李·昂克里奇,,迈克尔·阿恩特,,汤姆·汉克斯,,蒂姆·艾伦,,琼·库萨克,"['喜剧', '动画', '奇幻', '冒险']",103分钟,2010,美国, 英语 / 西班牙语,8.8
萤火之森 蛍火の杜へ,,大森贵弘,,绿川幸,,佐仓绫音,,内山昂辉,,辻亲八,"['剧情', '爱情', '动画', '奇幻']",45分钟,2011,日本, 日语,8.8
侧耳倾听 耳をすませば,,近藤喜文,,宫崎骏,,本名阳子,,小林桂树,,高山南,"['剧情', '爱情', '动画']",111分钟,1995,日本, 日语 / 英语,8.8
风之谷 風の谷のナウシカ,,宫崎骏,,宫崎骏,,岛本须美,,松田洋治,,榊原良子,"['动画', '奇幻', '冒险']",117分钟,1984,日本, 日语,8.8
你看起来好像很好吃 おまえうまそうだな,,藤森雅也,,村上修,,山口胜平,,爱河里花子,,加藤清史郎,"['剧情', '动画', '儿童']",90分钟,2010,日本, 日语,8.8
海洋之歌 Song of the Sea,,汤姆·摩尔,,汤姆·摩尔,,大卫·罗尔,,布莱丹·格里森,,丽莎·汉尼根,"['剧情', '动画', '冒险']",93分钟,2014,爱尔兰 / 丹麦 / 比利时 / 卢森堡 / 法国, 英语 / 爱尔兰语 / 苏格兰盖尔语,8.8
迷墙 Pink Floyd The Wall,,艾伦·帕克,,罗杰·沃特斯,,鲍勃·吉尔道夫,,Christine Hargreaves,,James Laurenson,"['剧情', '动画', '奇幻']",95 分钟,1982,英国, 英语,8.8
黑客帝国动画版 The Animatrix,,钟彼得,,莉莉·沃卓斯基,,大塚明夫,,克莱顿·华生,,帕梅拉·阿德龙,"['剧情', '动作', '科幻', '动画']",102 分钟,2003,美国, 英语 / 日语,8.8
艾特熊和赛娜鼠 Ernest et Célestine,,斯特凡·奥比尔,,达尼埃尔·佩纳克,,朗贝尔·维尔森,,波利娜·布伦纳,,安妮-玛丽·卢珀,['动画'],80分钟,2012,法国, 法语,8.8
回忆三部曲 Memories,,大友克洋,,大友克洋,,矶部勉,,山寺宏一,,饭冢昭三,"['科幻', '动画', '惊悚', '奇幻']",113 分钟,1995,日本, 日语 / 英语,8.8
天才嘉年华2 Genius Party Beyond,,前田真宏,,高乃丽,,高乃丽,,古田新太,,铃木晶子,['动画'],81分钟,2008,日本, 日语,8.5
极乐同盟 Spiklenci slasti,,杨·史云梅耶,,杨·史云梅耶,,Petr Meissel,,Gabriela Wilhelmová,,Barbora Hrzánová,"['喜剧', '动画']",85分钟,1996,捷克 / 瑞士 / 英国, 捷克语,8.5
你的名字。 君の名は。,,新海诚,,新海诚,,神木隆之介,,上白石萌音,,长泽雅美,"['剧情', '爱情', '动画']",106分钟,2016,日本, 日语,8.4
悬崖上的金鱼姬 崖の上のポニョ,,宫崎骏,,宫崎骏,,奈良柚莉爱,,土井洋辉,,山口智子,"['动画', '奇幻', '冒险']",101分钟,2008,日本, 日语,8.4
红猪 紅の豚,,宫崎骏,,宫崎骏,,森山周一郎,,加藤登纪子,,冈村明美,"['喜剧', '动画', '冒险']",94分钟,1992,日本, 日语,8.4
美女与野兽 Beauty and the Beast,,加里·特洛斯达勒,,琳达·伍尔芙顿,,佩吉·奥哈拉,,罗比·本森,,理查德·怀特,"['喜剧', '爱情', '动画', '歌舞', '奇幻']",84分钟,1991,美国, 英语 / 法语,8.4
麦兜·当当伴我心 麥兜‧噹噹伴我心,,谢立文,,谢立文,,黄秋生,,吴君如,,胡歌,"['喜剧', '动画']",80分钟,2012,中国大陆 / 香港, 汉语普通话 / 粤语,8.4
辛普森一家 The Simpsons Movie,,大卫·斯沃曼,,詹姆斯·L·布鲁克斯,,丹·卡斯泰兰尼塔,,朱莉·卡夫娜,,南茜·卡特莱特,"['喜剧', '动画', '冒险']",87分钟,2007,美国, 英语,8.4
小羊肖恩 Shaun the Sheep Movie,,马克·伯顿,,马克·伯顿,,贾斯汀·弗莱彻,,约翰·斯帕克斯,,欧米德·吉亚李利,"['喜剧', '动画', '冒险']",85分钟,2015,英国 / 法国, 无对白,8.4
百变狸猫 平成狸合戦ぽんぽこ,,高畑勋,,高畑勋,,古今亭志ん朝,,三木纪平,,清川虹子,"['剧情', '喜剧', '动画', '奇幻']",119 分钟,1994,日本, 日语,8.4
