拽妹黛薇儿要上大学了没 Daria: Is it College Yet?,,Karen Disher,,Glenn Eichler,,Geoffrey Arend ...  Charles 'Upchuck' Ruttheimer III (voice),,Tracy Grandstaff ...  Daria Morgendorffer (voice),,Rand Bridges ...  Professor Bill Woods (voice) (as H.R. Bridges),"['剧情', '喜剧', '动画']",90分钟,2002,USA, english,9.4
未来学大会 The Congress,,阿里·福尔曼,,阿里·福尔曼,,罗宾·怀特,,哈威·凯特尔,,乔恩·哈姆,"['科幻', '动画']",122分钟,2013,以色列 / 德国 / 波兰 / 卢森堡 / 法国 / 比利时, 英语,7.8
星际宝贝2：史迪奇有问题 Lilo & Stitch 2: Stitch Has a Glitch,,迈克尔·拉巴什,,安东尼·莱昂迪斯,,克里斯·桑德斯,,达科塔·范宁,,蒂亚·卡雷尔,"['喜剧', '科幻', '动画', '家庭']",68分钟,2005,美国, 英语 / 法语 / 西班牙语,7.8
9.99澳元 $9.99,,塔蒂亚·罗森娜尔,,埃特加·凯雷特,,杰弗里·拉什,,安东尼·拉帕格利亚,,Samuel Johnson,"['剧情', '动画']",78 分钟,2008,澳大利亚 / 以色列, 英语,7.8
芭比与魔幻飞马之旅 Barbie and the Magic of Pegasus 3-D,,Greg Richardson,,伊拉娜·莱瑟,,凯莉·谢里丹,,凯瑟琳·巴尔,,马克·海德斯,"['爱情', '动画', '家庭']",83分钟,2005,美国, 英语,7.8
森林王子 The Jungle Book,,沃夫冈·雷瑟曼,,拉里·克莱蒙斯,,菲尔·哈里斯,,塞巴斯蒂安·卡伯特,,布鲁斯·赖特曼,"['动画', '歌舞', '家庭', '冒险']",78 分钟,1967,美国, 英语,7.8
乐高DC超级英雄：正义联盟之末日军团的进攻 LEGO DC Super Heroes - Justice League: Attack of the Legion of Doom!,,Rick Morales,,Jim Krieg,,Mark Hamill,,Troy Baker,,Nolan North,"['动作', '科幻', '动画']",72分钟,2015,美国, 英语,7.8
犹太长老的灵猫 Le Chat du rabbin,,Joann Sfar,,Sandrina Jardel,,马修·阿马立克,,弗朗索瓦·达密安,,阿弗西娅·埃尔奇,"['动画', '冒险']",100分钟,2011,法国 / 奥地利, 法语,7.8
"被遗忘的孩子 Psiconautas, los niños olvidados",,佩德罗·里韦罗,,佩德罗·里韦罗,,安德莉亚·阿尔祖里,,伊娃·欧简古仁,,乔苏·库贝罗,"['动画', '恐怖', '奇幻']",76分钟,2015,西班牙, 西班牙语,7.8
芭比之圣诞颂歌 Barbie in a Christmas Carol,,William Lau,,Leanne Araya,,Leanne Araya,,Morwenna Banks,,类型:,"['动画', '家庭']",77分钟,2008,美国, 英语,7.8
我是江小白 剧场版,,金承仁,,敬之,,陈张太康,,佟心竹,,李兰陵,"['爱情', '动画']",37分钟,2018,中国大陆, 汉语普通话,7.8
勇敢传说 Brave,,马克∙安德鲁斯,,布兰达∙查普曼,,凯莉·麦克唐纳,,艾玛·汤普森,,比利·康诺利,"['喜剧', '动画', '奇幻', '冒险']",93分钟,2012,美国, 英语,7.5
海洋奇缘 Moana,,罗恩·克莱蒙兹,,杰拉德·布什,,奥丽伊·卡瓦洛,,道恩·强森,,瑞切尔·豪斯,"['动画', '歌舞', '奇幻', '冒险']",107分钟,2016,美国, 英语,7.5
马达加斯加的企鹅 Penguins of Madagascar,,埃里克·达尼尔,,约翰·阿布德,,汤姆·麦格拉思,,克里斯·米勒,,克里斯多夫·奈茨,"['喜剧', '动画', '冒险']",92分钟,2014,美国, 英语 / 汉语普通话 / 意大利语,7.5
小鸡快跑 Chicken Run,,彼得·洛伊德,,彼得·洛伊德,,菲尔·丹尼尔斯,,梅尔·吉布森,,Tony Haygarth,"['喜剧', '动画', '家庭']",84 分钟,2000,英国 / 美国, 英语,7.5
机器人9号 9,,申·阿克,,帕米拉·帕特勒,,伊莱贾·伍德,,詹妮弗·康纳利,,约翰·C·赖利,"['科幻', '动画']",79 分钟,2009,美国, 英语,7.5
怪物史瑞克4 Shrek Forever After,,迈克·米切尔,,Josh Klausner,,麦克·梅尔斯,,艾迪·墨菲,,卡梅隆·迪亚兹,"['喜剧', '动作', '动画', '冒险']",93分钟,2010,美国, 英语,7.5
