,导演,编剧,主演一,主演二,主演三,类型,时长,地区,分数
36.0,6.1111111111111125,8.2,6.082758620689654,8.2,8.2,6.91,6.6630600000000015,6.5677324358434745,8.2
37.0,7.716666666666668,7.43,6.65,7.4,7.8,7.33,6.844239999999999,7.293932708218413,7.8
38.0,7.6,7.666666666666668,6.6,7.8,7.8,7.33,7.404689999999999,7.0663419191245,7.8
39.0,7.7333333333333325,7.8,6.952272727272725,7.8,8.1,7.33,6.844239999999999,7.0663419191245,7.8
40.0,7.8,7.133333333333333,6.9,7.412499999999999,6.884615384615388,7.33,6.844239999999999,7.293932708218413,7.8
41.0,7.183333333333333,7.183333333333333,7.775,7.8,7.8,7.33,6.844239999999999,7.727272727272727,7.8
42.0,7.8,7.8,7.8,7.275,7.7,7.33,6.844239999999999,7.0663419191245,7.8
43.0,6.777777777777778,6.7666666666666675,7.0166666666666675,8.442857142857143,7.55,6.82,6.844239999999999,7.0663419191245,7.8
44.0,7.1,7.8,6.899999999999999,7.44,7.783333333333334,7.33,6.844239999999999,7.0663419191245,7.8
45.0,7.3647058823529425,7.290476190476192,7.6,7.8,7.8,7.33,6.6630600000000015,6.750420168067232,7.8
46.0,7.88,7.866666666666666,7.460000000000001,7.949999999999997,6.6,7.33,6.844239999999999,7.293932708218413,7.8
47.0,7.8,7.816666666666666,7.977777777777778,7.9,7.8,7.33,7.92058,7.494675248683443,7.8
48.0,7.483333333333332,7.533333333333334,6.55,7.53125,7.445454545454543,7.33,6.844239999999999,7.0663419191245,7.8
49.0,7.8,7.8,7.333333333333332,5.933333333333334,7.8,7.33,6.844239999999999,6.709859154929579,7.8
50.0,7.8,7.8,7.8,7.8,7.8,7.33,6.6630600000000015,7.293932708218413,7.8
51.0,7.35,7.35,7.666666666666668,7.65,6.8,7.33,6.844239999999999,7.293932708218413,7.8
52.0,7.4,7.4,7.8,7.8,7.8,7.33,6.844239999999999,7.0663419191245,7.8
53.0,6.9750000000000005,7.8,7.8,7.8,7.8,7.33,6.6630600000000015,7.745454545454548,7.8
54.0,7.56,7.56,7.3,7.8066666666666675,6.866666666666666,7.33,6.844239999999999,7.0663419191245,7.8
55.0,7.6,7.6,7.6,7.6,7.6,7.33,6.844239999999999,7.261666666666662,7.6
56.0,7.6,7.6,7.6,7.6,7.6,6.91,6.844239999999999,7.295439739413679,7.6
57.0,7.3,7.6,7.222727272727273,7.300000000000002,7.2285714285714295,7.33,6.6630600000000015,7.0663419191245,7.6
58.0,8.076923076923077,7.8625,8.275,7.883333333333333,8.249999999999998,6.82,7.404689999999999,7.0663419191245,7.6
59.0,7.6,7.6,7.8,7.6,7.6,6.91,6.6630600000000015,7.261666666666662,7.6
60.0,8.269565217391303,8.126315789473685,7.599999999999999,7.599999999999999,7.599999999999999,6.82,7.404689999999999,7.293932708218413,7.6
61.0,7.65,7.65,7.399999999999999,7.6,7.6,7.33,6.6630600000000015,7.0663419191245,7.6
62.0,7.466666666666666,7.6,7.6,7.6,7.6,7.33,6.6630600000000015,7.745454545454548,7.6
63.0,7.6,7.6,7.52,7.6,7.6,7.33,6.844239999999999,6.750420168067232,7.6
64.0,7.262499999999997,7.333333333333332,7.0500000000000025,7.399999999999999,7.42,6.6,6.6630600000000015,6.5677324358434745,7.6
65.0,6.928571428571429,7.6,7.6,7.6,7.6,7.33,6.844239999999999,7.383756345177666,7.6
66.0,7.449999999999997,7.6,7.6,7.6,7.6,7.33,6.6630600000000015,7.0663419191245,7.6
67.0,7.599999999999999,7.599999999999999,7.35,7.6,7.6,7.33,6.6630600000000015,7.350000000000001,7.6
68.0,6.075,6.6,7.6,7.25,6.8583333333333325,6.91,6.6630600000000015,6.5677324358434745,7.6
69.0,8.0,8.0,7.6,7.6,7.6,7.33,6.844239999999999,7.603906250000002,7.6
70.0,7.599999999999999,7.599999999999999,7.599999999999999,7.546666666666665,7.3599999999999985,6.82,6.844239999999999,7.293932708218413,7.6
71.0,8.52,8.475999999999999,7.6,7.6,7.6,7.33,6.844239999999999,7.252004860267325,7.6
72.0,7.6,7.3,7.6,7.6,7.6,7.33,6.844239999999999,7.0663419191245,7.6
73.0,7.3181818181818175,7.575000000000001,7.6,6.55,7.6,7.33,6.844239999999999,7.494675248683443,7.6
74.0,6.9833333333333325,7.3,7.3,7.3,6.966666666666666,7.33,6.844239999999999,7.0663419191245,7.3
75.0,6.9409090909090905,7.347368421052629,5.679999999999998,6.554166666666667,6.2125,7.33,6.844239999999999,6.5677324358434745,7.3
76.0,7.0,7.3,6.316666666666666,6.5200000000000005,7.3,6.91,6.844239999999999,6.752777777777789,7.3
77.0,7.637499999999997,7.01111111111111,6.790909090909091,7.1800000000000015,6.499999999999999,7.33,6.844239999999999,7.293932708218413,7.3
78.0,6.170454545454546,6.9045454545454525,7.764615384615384,7.1999999999999975,6.93076923076923,7.33,6.844239999999999,6.5677324358434745,7.3
79.0,6.966666666666666,6.966666666666666,7.15,7.485714285714287,6.772753623188407,7.33,6.844239999999999,6.750420168067232,7.3
80.0,7.776923076923077,7.7333333333333325,7.509090909090908,8.16,7.3,7.33,6.844239999999999,7.252004860267325,7.3
81.0,7.3,7.3,7.3,7.3,6.55,6.91,6.844239999999999,7.0663419191245,7.3
82.0,7.5285714285714285,7.5285714285714285,7.1000000000000005,7.3,7.3,6.82,7.404689999999999,6.709859154929579,7.3
83.0,7.8,7.2666666666666675,7.03076923076923,7.458333333333332,7.44,7.33,6.844239999999999,7.252004860267325,7.3
84.0,6.673333333333333,7.457142857142856,6.576315789473688,6.245454545454546,7.3,6.91,7.404689999999999,6.5677324358434745,7.3
85.0,6.866666666666667,7.1000000000000005,7.6,7.228571428571428,7.3,6.82,6.844239999999999,7.494675248683443,7.3
86.0,7.913333333333332,7.8,7.3,7.3,7.25,7.33,7.7176100000000005,7.252004860267325,7.3
87.0,7.008333333333334,7.43,7.3842105263157904,6.75,7.3,7.33,6.844239999999999,7.293932708218413,7.3
88.0,6.7333333333333325,7.3,6.719999999999999,6.75,6.75,6.91,6.844239999999999,7.252004860267325,7.3
89.0,6.966666666666666,7.3,7.1909090909090905,6.833333333333332,7.05,6.82,6.844239999999999,6.750420168067232,7.3
90.0,7.274074074074073,7.274074074074073,7.35,7.3,7.2,7.33,6.844239999999999,6.750420168067232,7.3
91.0,6.741666666666667,7.066666666666666,7.3,6.1999999999999975,7.3,6.82,6.844239999999999,7.0663419191245,7.3
92.0,6.15,7.1,7.9,6.9,6.9,7.33,6.844239999999999,7.252004860267325,7.1
93.0,8.2,7.1,7.1,7.1,7.1,7.33,6.6630600000000015,5.8443960826985695,7.1
94.0,7.749999999999999,7.1,7.1,7.1,6.7200000000000015,6.91,6.6630600000000015,5.8443960826985695,7.1
95.0,6.883333333333333,7.1625000000000005,4.8,5.66,6.75,6.91,6.844239999999999,6.5677324358434745,7.0
96.0,7.0,7.1,7.4846153846153864,6.7769230769230795,6.73,6.6,6.844239999999999,7.0663419191245,7.0
97.0,6.797777777777778,6.6,6.127999999999999,6.44,4.949999999999998,7.33,7.404689999999999,6.5677324358434745,7.0
98.0,7.155000000000001,6.74,7.166666666666668,7.518181818181818,5.825,6.82,7.404689999999999,7.0663419191245,7.0
99.0,7.5086956521739125,7.2333333333333325,6.758333333333334,6.833333333333332,7.1111111111111125,7.33,6.844239999999999,7.0663419191245,7.0
100.0,6.4375,6.1111111111111125,5.8825,5.463636363636364,5.62,7.33,6.844239999999999,5.8443960826985695,7.0
101.0,5.55,7.0,7.1428571428571415,7.0500000000000025,7.0,6.82,6.844239999999999,6.750420168067232,7.0
102.0,7.0,7.0,7.0,6.9,7.0,6.82,6.6630600000000015,6.5677324358434745,7.0
103.0,7.784,6.7615384615384615,7.293548387096774,7.194736842105263,7.3875,7.33,7.404689999999999,7.0663419191245,7.0
104.0,7.55,7.0,6.1000000000000005,5.9833333333333325,7.0,7.33,6.844239999999999,6.5677324358434745,7.0
105.0,7.0,6.8555555555555525,6.919999999999999,7.0,7.0,6.82,6.844239999999999,7.0663419191245,7.0
